group,stand,plot,number_living,number_species,plot_area,age,simpson,shannon,rugosity,annual_nppw,annual_nppw_ha,annual_c_ha,fpar,lue,,,,,,,,,,
planted pine,RPL93,RPL01,360,3,0.1,25,0.06,0.15115565,1.99209339,359.91,3599.1,1799.53,0.922,1951.767896,,,,,,,,,,
planted pine,RPL93,RPL02,288,3,0.1,25,0.136,0.27507841,1.51805321,443.2,4431.97,2215.99,0.861,2573.739837,,,,,,,,,,
planted pine,RPL93,RPL03,326,3,0.1,25,0.036,0.10005717,1.87019249,437.3,4373.06,2186.53,0.892,2451.266816,,,,,,,,,,
planted pine,RPL58,RPL04,116,1,0.1,60,0,0,2.10798764,316.29,3162.85,1581.43,0.779,2030.077022,,,,,,,,,,
planted pine,RPL58,RPL05,93,1,0.1,60,0,0,3.23612772,231.81,2318.1,1159.05,0.69,1679.782609,,,,,,,,,,
planted pine,RPL58,RPL06,61,1,0.1,60,0,0,4.79864062,172.94,1729.37,864.69,0.799,1082.215269,,,,,,,,,,
planted pine,RPL53,RPL07,110,1,0.1,65,0,0,6.68731975,273.93,2739.26,1369.63,0.854,1603.782201,,,,,,,,,,
planted pine,RPL53,RPL08,100,1,0.1,65,0,0,2.57183086,272.66,2726.61,1363.3,0.749,1820.160214,,,,,,,,,,
planted pine,RPL53,RPL09,101,2,0.1,65,0.039,0.09726745,7.11736131,262.14,2621.41,1310.71,0.772,1697.810881,,,,,,,,,,
planted pine,RPL48,RPL10,109,3,0.1,70,0.156,0.33755511,12.9033961,399.38,3993.85,1996.92,0.827,2414.655381,,,,,,,,,,
planted pine,RPL48,RPL11,108,4,0.1,70,0.491,0.87992617,15.5227996,381.08,3810.76,1905.38,0.92,2071.065217,,,,,,,,,,
planted pine,RPL48,RPL12,132,4,0.1,70,0.401,0.74925307,19.0757589,483.42,4834.24,2417.12,0.874,2765.583524,,,,,,,,,,
planted pine,RPL65,RPL13,73,1,0.1,53,0,0,1.874722733,185.81,1858.11,929.05,0.816,1138.541667,,,,,,,,,,
planted pine,RPL65,RPL14,64,1,0.1,53,0,0,1.896998638,200.55,2005.51,1002.76,0.733,1368.021828,,,,,,,,,,
