stand,plot,species,dbh_cm_18
RPL93,RPL01,PIRE,10.5
RPL93,RPL01,PIRE,6.4
RPL93,RPL01,PIRE,10.9
RPL93,RPL01,PIRE,15.4
RPL93,RPL01,PIRE,6.5
RPL93,RPL01,PIRE,7.3
RPL93,RPL01,PIRE,12.8
RPL93,RPL01,PIRE,6.6
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,12.8
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,14.6
RPL93,RPL01,PIRE,11.9
RPL93,RPL01,PIRE,17.4
RPL93,RPL01,PIRE,15
RPL93,RPL01,PIRE,5
RPL93,RPL01,PIRE,8.3
RPL93,RPL01,PIRE,7.3
RPL93,RPL01,PIRE,7.9
RPL93,RPL01,PIRE,17.3
RPL93,RPL01,PIRE,12.7
RPL93,RPL01,PIRE,9.3
RPL93,RPL01,PIRE,10
RPL93,RPL01,PIRE,10.6
RPL93,RPL01,PIRE,14.6
RPL93,RPL01,PIRE,10.5
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,17
RPL93,RPL01,PIRE,10.1
RPL93,RPL01,PIRE,7.5
RPL93,RPL01,PIRE,10.4
RPL93,RPL01,PIRE,10.2
RPL93,RPL01,PIRE,14.2
RPL93,RPL01,PIRE,10.1
RPL93,RPL01,PIRE,12.5
RPL93,RPL01,PIRE,15.4
RPL93,RPL01,PIRE,14
RPL93,RPL01,PIRE,12
RPL93,RPL01,PIRE,9
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,13
RPL93,RPL01,PIRE,6.1
RPL93,RPL01,PIRE,12.4
RPL93,RPL01,PIRE,9.5
RPL93,RPL01,PIRE,5.6
RPL93,RPL01,PIRE,5.3
RPL93,RPL01,PIRE,19.5
RPL93,RPL01,PIRE,5
RPL93,RPL01,PIRE,10.1
RPL93,RPL01,PIRE,12.5
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,6.8
RPL93,RPL01,PIRE,15
RPL93,RPL01,PIRE,15.9
RPL93,RPL01,PIRE,8.5
RPL93,RPL01,PIRE,8.1
RPL93,RPL01,PIRE,17.1
RPL93,RPL01,PIRE,17
RPL93,RPL01,PIRE,11.6
RPL93,RPL01,PIRE,7.4
RPL93,RPL01,PIRE,17.1
RPL93,RPL01,PIRE,17
RPL93,RPL01,PIRE,7
RPL93,RPL01,PIRE,8.1
RPL93,RPL01,PIRE,16.4
RPL93,RPL01,PIRE,10.9
RPL93,RPL01,PIRE,5.4
RPL93,RPL01,PIRE,5.4
RPL93,RPL01,PIRE,13.4
RPL93,RPL01,PIRE,12
RPL93,RPL01,PIRE,10.5
RPL93,RPL01,PIRE,8
RPL93,RPL01,PIRE,7.1
RPL93,RPL01,PIRE,10.9
RPL93,RPL01,PIRE,6
RPL93,RPL01,PIRE,6.5
RPL93,RPL01,PIRE,7.2
RPL93,RPL01,PIRE,10.8
RPL93,RPL01,PIRE,15.5
RPL93,RPL01,PIRE,16.8
RPL93,RPL01,PIRE,6.1
RPL93,RPL01,PIRE,9.9
RPL93,RPL01,PIRE,7.5
RPL93,RPL01,PIRE,6
RPL93,RPL01,PIRE,12.9
RPL93,RPL01,PIRE,11.9
RPL93,RPL01,PIRE,13.9
RPL93,RPL01,PIRE,5.7
RPL93,RPL01,PIRE,15.4
RPL93,RPL01,PIRE,12.4
RPL93,RPL01,PIRE,7.4
RPL93,RPL01,PIRE,9.5
RPL93,RPL01,PIRE,6.9
RPL93,RPL01,PIRE,6.6
RPL93,RPL01,PIRE,11
RPL93,RPL01,PIRE,7.9
RPL93,RPL01,PIRE,5.9
RPL93,RPL01,PIRE,6.2
RPL93,RPL01,PIRE,6
RPL93,RPL01,PIRE,10.1
RPL93,RPL01,PIRE,10.2
RPL93,RPL01,PRPE,6.7
RPL93,RPL01,PIRE,14.2
RPL93,RPL01,PIRE,9.3
RPL93,RPL01,PIRE,12.1
RPL93,RPL01,PIRE,13
RPL93,RPL01,PIRE,17.8
RPL93,RPL01,PIRE,15.5
RPL93,RPL01,PIRE,12.7
RPL93,RPL01,PIRE,13.3
RPL93,RPL01,PIRE,15.8
RPL93,RPL01,PIRE,9
RPL93,RPL01,PIRE,8.4
RPL93,RPL01,PIRE,16.8
RPL93,RPL01,PIRE,19.3
RPL93,RPL01,PIBA2,6.2
RPL93,RPL01,PIRE,13.5
RPL93,RPL01,PIRE,5.3
RPL93,RPL01,PIRE,5.1
RPL93,RPL01,PIRE,10.8
RPL93,RPL01,PIRE,10.7
RPL93,RPL01,PIRE,5.6
RPL93,RPL01,PIRE,8.7
