"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,518,530,1,0,1,0,1,1.21953732086705,0,0,6.41081118377546,0
"2","1",1,1,0,0,518,530,1,0,1,0,1,1.21953732086705,0,0,6.41081118377546,0
"3","1",1,2,14,12,518,530,1,14,0.972972972972973,0.0273989741881143,1,1.21953732086705,0.0224666959504238,0.027027027027027,6.41081118377546,0.173265167129066
"4","1",1,3,6,12,518,530,1,20,0.961389961389961,0.0119761910467158,1,1.21953732086705,0.00982027433010512,0.0115830115830116,6.41081118377546,0.0742565001981713
"5","1",1,4,159,12,518,530,1,179,0.654440154440154,0.384599969644203,1,1.21953732086705,0.315365477598312,0.306949806949807,6.41081118377546,1.96779725525154
"6","1",1,5,186,12,518,530,1,365,0.295366795366795,0.795562185988015,1,1.21953732086705,0.652347552121159,0.359073359073359,6.41081118377546,2.30195150614331
"7","1",1,6,153,12,518,530,1,518,0,0,1,1.21953732086705,0,0.295366795366795,6.41081118377546,1.89354075505337
"8","1",1,7,0,0,518,530,1,518,0,0,1,1.21953732086705,0,0,6.41081118377546,0
"9","1",1,8,0,0,518,530,1,518,0,0,1,1.21953732086705,0,0,6.41081118377546,0
"10","1",1,9,0,0,518,530,1,518,0,0,1,1.21953732086705,0,0,6.41081118377546,0
"11","1",1,10,0,0,518,530,1,518,0,0,1,1.21953732086705,0,0,6.41081118377546,0
"12","1",1,11,0,0,518,530,1,518,0,0,1,1.21953732086705,0,0,6.41081118377546,0
"13","2",2,0,0,0,530,530,1,0,1,0,1,6.27476202124194,0,0,8,0
"14","2",2,1,0,0,530,530,1,0,1,0,1,6.27476202124194,0,0,8,0
"15","2",2,2,81,0,530,530,1,81,0.847457627118644,0.165514438477574,1,6.27476202124194,0.0263778033202308,0.152830188679245,8,0.211022426561846
"16","2",2,3,81,0,530,530,1,162,0.694915254237288,0.198450938723838,1,6.27476202124194,0.0316268470504575,0.152830188679245,8,0.25301477640366
"17","2",2,4,44,0,530,530,1,206,0.612052730696798,0.12697146171079,1,6.27476202124194,0.0202352633105373,0.0830188679245283,8,0.161882106484298
"18","2",2,5,81,0,530,530,1,287,0.459510357815443,0.286656957036536,1,6.27476202124194,0.0456841161570935,0.152830188679245,8,0.365472929256748
"19","2",2,6,217,0,530,530,1,504,0.0508474576271186,2.20133135928887,1,6.27476202124194,0.350823083303671,0.409433962264151,8,2.80658466642937
"20","2",2,7,26,0,530,530,1,530,0.00188323917137476,3.29583686600433,1,6.27476202124194,0.52525288685801,0.0490566037735849,8,4.20202309486408
"21","2",2,8,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"22","2",2,9,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"23","2",2,10,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"24","2",2,11,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"25","3",3,0,0,0,505,529,1,0,1,0,1,1.34175650668899,0,0,5.53390356209305,0
"26","3",3,1,0,0,505,529,1,0,1,0,1,1.34175650668899,0,0,5.53390356209305,0
"27","3",3,2,156,24,505,529,1,156,0.691089108910891,0.369486507072933,1,1.34175650668899,0.275375230327523,0.308910891089109,5.53390356209305,1.70948308056736
"28","3",3,3,81,24,505,529,1,237,0.530693069306931,0.26408494169157,1,1.34175650668899,0.196820317527839,0.16039603960396,5.53390356209305,0.887616214909975
"29","3",3,4,46,24,505,529,1,283,0.43960396039604,0.188309598638577,1,1.34175650668899,0.140345582599978,0.0910891089108911,5.53390356209305,0.504078344269862
"30","3",3,5,55,24,505,529,1,338,0.330693069306931,0.284683569455524,1,1.34175650668899,0.212172304018133,0.108910891089109,5.53390356209305,0.602702368148748
"31","3",3,6,33,24,505,529,1,371,0.265346534653465,0.220154012465844,1,1.34175650668899,0.164078960205016,0.0653465346534653,5.53390356209305,0.361621420889249
"32","3",3,7,2,24,505,529,1,373,0.261386138613861,0.0150378773645405,1,1.34175650668899,0.0112076053215117,0.00396039603960396,5.53390356209305,0.0219164497508636
"33","3",3,8,132,24,505,529,1,505,0,0,1,1.34175650668899,0,0.261386138613861,5.53390356209305,1.446485683557
"34","3",3,9,0,0,505,529,1,505,0,0,1,1.34175650668899,0,0,5.53390356209305,0
"35","3",3,10,0,0,505,529,1,505,0,0,1,1.34175650668899,0,0,5.53390356209305,0
"36","3",3,11,0,0,505,529,1,505,0,0,1,1.34175650668899,0,0,5.53390356209305,0
"37","4",4,0,0,0,530,530,1,0,1,0,1,6.27476202124194,0,0,8,0
"38","4",4,1,0,0,530,530,1,0,1,0,1,6.27476202124194,0,0,8,0
"39","4",4,2,220,0,530,530,1,220,0.585687382297552,0.534969109062705,1,6.27476202124194,0.0852572746586524,0.415094339622642,8,0.682058197269219
"40","4",4,3,72,0,530,530,1,292,0.450094161958569,0.263329360247724,1,6.27476202124194,0.0419664298592162,0.135849056603774,8,0.33573143887373
"41","4",4,4,3,0,530,530,1,295,0.444444444444444,0.0126317469059006,1,6.27476202124194,0.00201310374212414,0.00566037735849057,8,0.0161048299369931
"42","4",4,5,80,0,530,530,1,375,0.293785310734463,0.413975797776073,1,6.27476202124194,0.0659747407749715,0.150943396226415,8,0.527797926199772
"43","4",4,6,109,0,530,530,1,484,0.0885122410546139,1.19970840553948,1,6.27476202124194,0.191195841607715,0.205660377358491,8,1.52956673286172
"44","4",4,7,24,0,530,530,1,508,0.0433145009416196,0.714653385780909,1,6.27476202124194,0.113893305174219,0.0452830188679245,8,0.911146441393754
"45","4",4,8,0,0,530,530,1,508,0.0433145009416196,0,1,6.27476202124194,0,0,8,0
"46","4",4,9,22,0,530,530,1,530,0.00188323917137476,3.13549421592915,1,6.27476202124194,0.499699304183102,0.0415094339622641,8,3.99759443346481
"47","4",4,10,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"48","4",4,11,0,0,530,530,1,530,0.00188323917137476,0,1,6.27476202124194,0,0,8,0
"49","5",5,0,0,0,471,529,1,0,1,0,1,2.46597863990248,0,0,4.1437670906165,0
"50","5",5,1,47,58,471,529,1,47,0.900212314225053,0.10512463878446,1,2.46597863990248,0.0426299875771095,0.0997876857749469,4.1437670906165,0.413496928363006
"51","5",5,2,38,58,471,529,1,85,0.819532908704883,0.0938960857671268,1,2.46597863990248,0.0380766014140496,0.0806794055201698,4.1437670906165,0.334316665484983
"52","5",5,3,263,58,471,529,1,348,0.261146496815287,1.14365301409241,1,2.46597863990248,0.463772473770349,0.558386411889597,4.1437670906165,2.31382323743554
"53","5",5,4,10,58,471,529,1,358,0.239915074309979,0.0847965366600768,1,2.46597863990248,0.0343865657585056,0.0212314225053079,4.1437670906165,0.0879780698644693
"54","5",5,5,39,58,471,529,1,397,0.157112526539278,0.423322725508171,1,2.46597863990248,0.171665203687616,0.0828025477707006,4.1437670906165,0.34311447247143
"55","5",5,6,34,58,471,529,1,431,0.0849256900212314,0.615185639090233,1,2.46597863990248,0.24946916779237,0.0721868365180467,4.1437670906165,0.299125437539196
"56","5",5,7,40,58,471,529,1,471,0,0,1,2.46597863990248,0,0.0849256900212314,4.1437670906165,0.351912279457877
"57","5",5,8,0,0,471,529,1,471,0,0,1,2.46597863990248,0,0,4.1437670906165,0
"58","5",5,9,0,0,471,529,1,471,0,0,1,2.46597863990248,0,0,4.1437670906165,0
"59","5",5,10,0,0,471,529,1,471,0,0,1,2.46597863990248,0,0,4.1437670906165,0
"60","5",5,11,0,0,471,529,1,471,0,0,1,2.46597863990248,0,0,4.1437670906165,0
"61","6",6,0,0,0,504,530,1,0,1,0,1,4.83628190695148,0,0,5.42189660441176,0
"62","6",6,1,1,26,504,530,1,1,0.998015873015873,0.00198609797162932,1,4.83628190695148,0.000410666294860642,0.00198412698412698,5.42189660441176,0.0107577313579598
"63","6",6,2,50,26,504,530,1,51,0.898809523809524,0.104698044616705,1,4.83628190695148,0.0216484577679842,0.0992063492063492,5.42189660441176,0.537886567897992
"64","6",6,3,47,26,504,530,1,98,0.805555555555556,0.109538965881301,1,4.83628190695148,0.0226494170498735,0.0932539682539683,5.42189660441176,0.505613373824113
"65","6",6,4,11,26,504,530,1,109,0.783730158730159,0.0274673947006109,1,4.83628190695148,0.0056794445049058,0.0218253968253968,5.42189660441176,0.118335044937558
"66","6",6,5,286,26,504,530,1,395,0.216269841269841,1.28753788267198,1,4.83628190695148,0.266224737813841,0.567460317460317,5.42189660441176,3.07671116837652
"67","6",6,6,68,26,504,530,1,463,0.0813492063492064,0.977775815524836,1,4.83628190695148,0.20217510772468,0.134920634920635,5.42189660441176,0.73152573234127
"68","6",6,7,37,26,504,530,1,500,0.00793650793650794,2.32727770558442,1,4.83628190695148,0.481212168843855,0.0734126984126984,5.42189660441176,0.398036060244514
