"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,1.14622059848035
"6",1,5,0.355331856623599
"7",1,6,1.21502201567099
"8",1,7,1.14642418342141
"9",1,8,1.05515025542515
"10",1,9,0
"11",1,10,1.01335041747668
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0.65652930028061
"19",1,18,0
"20",1,19,0.521116622443359
"21",1,20,0.890854750177855
"22",1,21,0
"23",2,0,0
"24",2,1,0
"25",2,2,0
"26",2,3,0
"27",2,4,1.13386250585908
"28",2,5,0.265446382757909
"29",2,6,0.643990354675114
"30",2,7,3.65387463390883
"31",2,8,0
"32",2,9,0
"33",2,10,0
"34",2,11,0
"35",2,12,0
"36",2,13,0
"37",2,14,0
"38",2,15,0
"39",2,16,0
"40",2,17,2.30282612279907
"41",2,18,0
"42",2,19,0
"43",2,20,0
"44",2,21,0
"45",3,0,0
"46",3,1,0
"47",3,2,0
"48",3,3,0.0952762572428104
"49",3,4,0.11486573597407
"50",3,5,1.20995464594826
"51",3,6,0
"52",3,7,1.80558236358618
"53",3,8,0.20341928924424
"54",3,9,4.57090170800444
"55",3,10,0
"56",3,11,0
"57",3,12,0
"58",3,13,0
"59",3,14,0
"60",3,15,0
"61",3,16,0
"62",3,17,0
"63",3,18,0
"64",3,19,0
"65",3,20,0
"66",3,21,0
"67",4,0,0
"68",4,1,0.501307132232123
"69",4,2,3.63805747391312
"70",4,3,0.358076523022945
"71",4,4,0
"72",4,5,0
"73",4,6,0
"74",4,7,2.43492035655603
"75",4,8,0.0286461218418356
"76",4,9,0.143230609209178
"77",4,10,0
"78",4,11,0
"79",4,12,0
"80",4,13,0
"81",4,14,0
"82",4,15,0
"83",4,16,0.0429691827627534
"84",4,17,0
"85",4,18,0
"86",4,19,0
"87",4,20,0
"88",4,21,0
"89",5,0,0
"90",5,1,0
"91",5,2,3.86168083932109
"92",5,3,0
"93",5,4,0
"94",5,5,0
"95",5,6,0
"96",5,7,0.352827297092263
"97",5,8,3.78549186358665
"98",5,9,0
"99",5,10,0
"100",5,11,0
"101",5,12,0
"102",5,13,0
"103",5,14,0
"104",5,15,0
"105",5,16,0
"106",5,17,0
"107",5,18,0
"108",5,19,0
"109",5,20,0
"110",5,21,0
"111",6,0,0
"112",6,1,0
"113",6,2,0.929608391597779
"114",6,3,0
"115",6,4,0
"116",6,5,0.804633317472397
"117",6,6,1.77193582793011
"118",6,7,1.19726816234692
"119",6,8,1.51484480029708
"120",6,9,0
"121",6,10,1.78170950035571
"122",6,11,0
"123",6,12,0
"124",6,13,0
"125",6,14,0
"126",6,15,0
"127",6,16,0
"128",6,17,0
"129",6,18,0
"130",6,19,0
"131",6,20,0
"132",6,21,0
"133",7,0,0
"134",7,1,0
"135",7,2,0
"136",7,3,0.0870612699790204
"137",7,4,2.07189208111823
"138",7,5,0.256471727236089
"139",7,6,1.94207930955988
"140",7,7,1.86021855977641
"141",7,8,1.78227705233037
"142",7,9,0
"143",7,10,0
"144",7,11,0
"145",7,12,0
"146",7,13,0
"147",7,14,0
"148",7,15,0
"149",7,16,0
"150",7,17,0
"151",7,18,0
"152",7,19,0
"153",7,20,0
"154",7,21,0
"155",8,0,0
"156",8,1,0
"157",8,2,0.0413792434162897
"158",8,3,0.223333785942296
"159",8,4,0.964868514241328
"160",8,5,0.706053987938467
"161",8,6,1.73660902267848
"162",8,7,0.355049605226784
"163",8,8,3.97270584055636
"164",8,9,0
"165",8,10,0
"166",8,11,0
"167",8,12,0
"168",8,13,0
"169",8,14,0
"170",8,15,0
"171",8,16,0
"172",8,17,0
"173",8,18,0
"174",8,19,0
"175",8,20,0
"176",8,21,0
"177",9,0,0
"178",9,1,0
"179",9,2,0.0179812879710349
"180",9,3,0.774968995261456
"181",9,4,0.150245602598979
"182",9,5,0.469225261088264
"183",9,6,0.120240947134022
"184",9,7,0.199583698459865
"185",9,8,0.666590137814106
"186",9,9,0.102906197337258
"187",9,10,0.0547163908777438
"188",9,11,0.0767775045304593
"189",9,12,0.33730629008272
"190",9,13,0.13545581266517
"191",9,14,0
"192",9,15,0
"193",9,16,0.0288920278468826
"194",9,17,0.0907888490833595
"195",9,18,4.77432099724868
"196",9,19,0
"197",9,20,0
"198",9,21,0
"199",10,0,0
"200",10,1,0
"201",10,2,0
"202",10,3,0
"203",10,4,0
"204",10,5,0
"205",10,6,0.328269480959591
"206",10,7,0.227263486818179
"207",10,8,3.74984753249995
"208",10,9,0.404023976565651
"209",10,10,0
"210",10,11,0.0126257492676766
"211",10,12,0
"212",10,13,0.0252514985353532
"213",10,14,0
"214",10,15,0.44190122436868
"215",10,16,0.404023976565651
"216",10,17,0.202011988282825
"217",10,18,0.315643731691915
"218",10,19,0.0631287463383829
"219",10,20,0
"220",10,21,0
"221",11,0,0
"222",11,1,0
"223",11,2,0.108176150366144
"224",11,3,0.922680637753473
"225",11,4,0.438673498667859
"226",11,5,0.130737416750909
"227",11,6,0
"228",11,7,0.26358989734349
"229",11,8,2.81915196002841
"230",11,9,3.31699043908972
"231",11,10,0
"232",11,11,0
"233",11,12,0
"234",11,13,0
"235",11,14,0
"236",11,15,0
"237",11,16,0
"238",11,17,0
"239",11,18,0
"240",11,19,0
"241",11,20,0
"242",11,21,0
"243",12,0,0
"244",12,1,0
"245",12,2,0.548519801911083
"246",12,3,2.89119361351817
"247",12,4,0.161860875458272
"248",12,5,0.461251749655793
"249",12,6,0
"250",12,7,0
"251",12,8,1.85585014995434
"252",12,9,2.08132380950234
"253",12,10,0
"254",12,11,0
"255",12,12,0
"256",12,13,0
"257",12,14,0
"258",12,15,0
"259",12,16,0
"260",12,17,0
"261",12,18,0
"262",12,19,0
"263",12,20,0
"264",12,21,0
"265",13,0,0
"266",13,1,0
"267",13,2,1.94790126562554
"268",13,3,0.615126715460696
"269",13,4,0.162325105468795
"270",13,5,0.418627903577418
"271",13,6,0.0683474128289662
"272",13,7,0
"273",13,8,0
"274",13,9,0
"275",13,10,0
"276",13,11,0
"277",13,12,0
"278",13,13,0
"279",13,14,0.0170868532072415
"280",13,15,0.0341737064144831
"281",13,16,0
"282",13,17,0.179411958676036
"283",13,18,0.0256302798108623
"284",13,19,0
"285",13,20,0
"286",13,21,0
"287",14,0,0
"288",14,1,0
"289",14,2,0
"290",14,3,2.4243354377982
"291",14,4,0
"292",14,5,0.00835977737171795
"293",14,6,0.150475992690923
"294",14,7,0
"295",14,8,0
"296",14,9,0
"297",14,10,0
"298",14,11,0
"299",14,12,0
"300",14,13,0
"301",14,14,0.0668782189737436
"302",14,15,0.484867087559641
"303",14,16,0.125396660575769
"304",14,17,0
"305",14,18,0.100317328460615
"306",14,19,0
"307",14,20,0
"308",14,21,0
"309",15,0,0
"310",15,1,0
"311",15,2,0
"312",15,3,1.53078723083882
"313",15,4,0
"314",15,5,0
"315",15,6,0
"316",15,7,0
"317",15,8,0
"318",15,9,0
"319",15,10,0.049380233252865
"320",15,11,0.016460077750955
"321",15,12,0
"322",15,13,0.419731982649353
"323",15,14,0.181060855260505
"324",15,15,0.370351749396488
"325",15,16,0.19752093301146
"326",15,17,0.469112215902218
"327",15,18,0.0411501943773875
"328",15,19,0
"329",15,20,0
"330",15,21,0
"331",16,0,0
"332",16,1,0
"333",16,2,0
"334",16,3,0.978605499613061
"335",16,4,0
"336",16,5,0.0212740326002839
"337",16,6,0
"338",16,7,0
"339",16,8,0.134735539801798
"340",16,9,0
"341",16,10,0
"342",16,11,0.30492780060407
"343",16,12,0.446754684605962
"344",16,13,0.148918228201987
"345",16,14,0.191466293402555
"346",16,15,0.0567307536007571
"347",16,16,0
"348",16,17,0
"349",16,18,0.0283653768003786
"350",16,19,0.148918228201987
"351",16,20,0.0283653768003786
"352",16,21,0
"353",17,0,0
"354",17,1,0
"355",17,2,0
"356",17,3,0
"357",17,4,0
"358",17,5,0
"359",17,6,0
"360",17,7,0
"361",17,8,0
"362",17,9,0
"363",17,10,0
"364",17,11,0
"365",17,12,0
"366",17,13,0
"367",17,14,0
"368",17,15,0.0400898280972341
"369",17,16,0.220494054534787
"370",17,17,0.320718624777872
"371",17,18,0.78843328591227
"372",17,19,0.414261557004752
"373",17,20,0.34076353882649
"374",17,21,0.0801796561944681
"375",18,0,0
"376",18,1,0
"377",18,2,1.69509263767697
"378",18,3,0
"379",18,4,0
"380",18,5,0
"381",18,6,0
"382",18,7,0
"383",18,8,0
"384",18,9,0.0430955755341601
"385",18,10,0.0718259592236002
"386",18,11,0.0718259592236002
"387",18,12,0.0718259592236002
"388",18,13,0
"389",18,14,0.0287303836894401
"390",18,15,0.976833045440963
"391",18,16,1.68072744583224
"392",18,17,0.430955755341601
"393",18,18,0.603338057478242
"394",18,19,0.517146906409921
"395",18,20,0.660798824857122
"396",18,21,0
"397",19,0,0
"398",19,1,0
"399",19,2,2.42099461738527
"400",19,3,0
"401",19,4,0
"402",19,5,0
"403",19,6,0
"404",19,7,0
"405",19,8,0.147515801059317
"406",19,9,0
"407",19,10,0.00867740006231279
"408",19,11,0.130161000934692
"409",19,12,0
"410",19,13,0
"411",19,14,0
"412",19,15,0
"413",19,16,0.043387000311564
"414",19,17,0
"415",19,18,0.459902203302578
"416",19,19,0.355773402554825
"417",19,20,0
"418",19,21,0
"419",20,0,0
"420",20,1,0
"421",20,2,8
"422",20,3,0
"423",20,4,0
"424",20,5,0
"425",20,6,0
"426",20,7,0
"427",20,8,0
"428",20,9,0
"429",20,10,0
"430",20,11,0
"431",20,12,0
"432",20,13,0
"433",20,14,0
"434",20,15,0
"435",20,16,0
"436",20,17,0
"437",20,18,0
"438",20,19,0
"439",20,20,0
"440",20,21,0
"441",21,0,0
"442",21,1,0
"443",21,2,0.918998641311179
"444",21,3,0
"445",21,4,0
"446",21,5,0
"447",21,6,0
"448",21,7,0
"449",21,8,0
"450",21,9,0
"451",21,10,0.201424359739437
"452",21,11,0.0503560899348591
"453",21,12,0.163657292288292
"454",21,13,0.327314584576584
"455",21,14,0.503560899348591
"456",21,15,0.89382059634375
"457",21,16,0.780519393990316
"458",21,17,1.08265593359947
"459",21,18,0.490971876864876
"460",21,19,0.616862101702024
"461",21,20,0.0629451124185739
"462",21,21,0.188835337255722
"463",22,0,0
"464",22,1,0
"465",22,2,0.531099263005714
"466",22,3,0
"467",22,4,0
"468",22,5,0
"469",22,6,0
"470",22,7,0
"471",22,8,0
"472",22,9,0
"473",22,10,0
"474",22,11,0
"475",22,12,0
"476",22,13,0.16956682282577
"477",22,14,0.0573793873886276
"478",22,15,0.133066930061395
"479",22,16,0.211888185766032
"480",22,17,0.836513706788246
"481",22,18,1.70016899246721
"482",22,19,4.360316711697
"483",22,20,0
"484",22,21,0
"485",23,0,0
"486",23,1,0
"487",23,2,1.818492168545
"488",23,3,0.153632530544192
"489",23,4,2.95282497323321
"490",23,5,0
"491",23,6,1.01111424333328
"492",23,7,0
"493",23,8,0
"494",23,9,0
"495",23,10,0
"496",23,11,0.286158306566544
"497",23,12,0
"498",23,13,0.368922221581194
"499",23,14,0
"500",23,15,0
"501",23,16,0.519966667307694
"502",23,17,0.888888888888889
"503",23,18,0
"504",23,19,0
"505",23,20,0
"506",23,21,0
"507",24,0,0
"508",24,1,0
"509",24,2,0.16229239665616
"510",24,3,0.458877107520588
"511",24,4,1.02548691863318
"512",24,5,1.39048474600076
"513",24,6,4.96285883118932
"514",24,7,0
"515",24,8,0
"516",24,9,0
"517",24,10,0
"518",24,11,0
"519",24,12,0
"520",24,13,0
"521",24,14,0
"522",24,15,0
"523",24,16,0
"524",24,17,0
"525",24,18,0
"526",24,19,0
"527",24,20,0
"528",24,21,0
"529",25,0,0
"530",25,1,0
"531",25,2,0.220311103150545
"532",25,3,1.01317435141935
"533",25,4,0.875595664091656
"534",25,5,0.850339611731843
"535",25,6,5.0405792696066
"536",25,7,0
"537",25,8,0
"538",25,9,0
"539",25,10,0
"540",25,11,0
"541",25,12,0
"542",25,13,0
"543",25,14,0
"544",25,15,0
"545",25,16,0
"546",25,17,0
"547",25,18,0
"548",25,19,0
"549",25,20,0
"550",25,21,0
"551",26,0,0
"552",26,1,0
"553",26,2,0.335953938260999
"554",26,3,2.33071272840567
"555",26,4,0.0615668110552123
"556",26,5,0.307355410525982
"557",26,6,0.299586655357841
"558",26,7,0
"559",26,8,0
"560",26,9,0
"561",26,10,0
"562",26,11,0
"563",26,12,0
"564",26,13,0
"565",26,14,0.0693355662233539
"566",26,15,0
"567",26,16,1.40885555619658
"568",26,17,0
"569",26,18,1.12269724963004
"570",26,19,2.06393608434432
"571",26,20,0
"572",26,21,0
"573",27,0,0
"574",27,1,0.00250145369169443
"575",27,2,0.281694484019733
"576",27,3,7.71580406228857
"577",27,4,0
"578",27,5,0
"579",27,6,0
"580",27,7,0
"581",27,8,0
"582",27,9,0
"583",27,10,0
"584",27,11,0
"585",27,12,0
"586",27,13,0
"587",27,14,0
"588",27,15,0
"589",27,16,0
"590",27,17,0
"591",27,18,0
"592",27,19,0
"593",27,20,0
"594",27,21,0
"595",28,0,0
"596",28,1,0
"597",28,2,0.300641690869345
"598",28,3,2.96875555811967
"599",28,4,0.0324674453556568
"600",28,5,0.253690861210887
"601",28,6,0
"602",28,7,0
"603",28,8,0
"604",28,9,0
"605",28,10,0
"606",28,11,0.217877775854695
"607",28,12,0
"608",28,13,1.73114007120521
"609",28,14,0.197682152299065
"610",28,15,2.29774444508547
"611",28,16,0
"612",28,17,0
"613",28,18,0
"614",28,19,0
"615",28,20,0
"616",28,21,0
"617",29,0,0
"618",29,1,0
"619",29,2,1.68328733227995
"620",29,3,0.505944547062757
"621",29,4,0
"622",29,5,0
"623",29,6,0
"624",29,7,0
"625",29,8,0
"626",29,9,0
"627",29,10,0
"628",29,11,0
"629",29,12,0
"630",29,13,0.115313154603637
"631",29,14,0.558075421098226
"632",29,15,1.11769285965526
"633",29,16,1.72266070288029
"634",29,17,1.40841503283007
"635",29,18,0.888610949589812
"636",29,19,0
"637",29,20,0
"638",29,21,0
"639",30,0,0
"640",30,1,0
"641",30,2,0
"642",30,3,1.39887577359814
"643",30,4,0.037831521980485
"644",30,5,0
"645",30,6,0
"646",30,7,0
"647",30,8,0
"648",30,9,0
"649",30,10,0
"650",30,11,0
"651",30,12,0
"652",30,13,0
"653",30,14,0.282324535125582
"654",30,15,0.51043208366942
"655",30,16,1.74959212468681
"656",30,17,1.2032328485464
"657",30,18,0.1510444457265
"658",30,19,2.66666666666667
"659",30,20,0
"660",30,21,0
"661",31,0,0
"662",31,1,0
"663",31,2,0
"664",31,3,4.11174478938549
"665",31,4,0
"666",31,5,0
"667",31,6,0
"668",31,7,0
"669",31,8,0
"670",31,9,0
"671",31,10,0
"672",31,11,0
"673",31,12,0
"674",31,13,0.0907002527070329
"675",31,14,0.211633922983077
"676",31,15,1.1035197412689
"677",31,16,0.60466835138022
"678",31,17,1.16398657640692
"679",31,18,0.151167087845055
"680",31,19,0
"681",31,20,0
"682",31,21,0
"683",32,0,0
"684",32,1,0
"685",32,2,0
"686",32,3,0
"687",32,4,0
"688",32,5,0
"689",32,6,0
"690",32,7,0
"691",32,8,0.431829261528468
"692",32,9,0
"693",32,10,0
"694",32,11,0.0816974278567371
"695",32,12,0.210079100203038
"696",32,13,1.21379035672867
"697",32,14,0.57188199499716
"698",32,15,0.676921545098679
"699",32,16,0.560210933874769
"700",32,17,0.45517138377325
"701",32,18,1.02705337877041
"702",32,19,0.268434405814993
"703",32,20,0
"704",32,21,0
"705",33,0,0
"706",33,1,0
"707",33,2,0
"708",33,3,0
"709",33,4,0
"710",33,5,0
"711",33,6,0
"712",33,7,0
"713",33,8,0
"714",33,9,0
"715",33,10,0
"716",33,11,0
"717",33,12,0
"718",33,13,0.238581585002294
"719",33,14,0.0193444528380238
"720",33,15,0.290166792570357
"721",33,16,0.444922415274547
"722",33,17,0.419129811490516
"723",33,18,0.393337207706484
"724",33,19,0.315959396354389
"725",33,20,0
"726",33,21,0
"727",34,0,0
"728",34,1,0
"729",34,2,0
"730",34,3,0
"731",34,4,0
"732",34,5,0
"733",34,6,0
"734",34,7,0
"735",34,8,0
"736",34,9,0
"737",34,10,0
"738",34,11,0
"739",34,12,0
"740",34,13,0.0263146833823757
"741",34,14,0.25814908061058
"742",34,15,0.173564667641488
"743",34,16,0.145380201822458
"744",34,17,0.700924020556043
"745",34,18,0.922702392398374
"746",34,19,3.46271556880576
"747",34,20,0.893726459915147
"748",34,21,1.41652292486778
"749",35,0,0
"750",35,1,0
"751",35,2,0
"752",35,3,0
"753",35,4,0
"754",35,5,0
"755",35,6,0
"756",35,7,0
"757",35,8,0
"758",35,9,0
"759",35,10,0
"760",35,11,0
"761",35,12,0.0242051012633384
"762",35,13,0.298529582247841
"763",35,14,0.0242051012633384
"764",35,15,0.137162240492251
"765",35,16,0.629332632846799
"766",35,17,0.508307126530107
"767",35,18,0.76649487333905
"768",35,19,0.726153037900153
"769",35,20,0.15329897466781
"770",35,21,0
"771",36,0,0
"772",36,1,0
"773",36,2,0
"774",36,3,0
"775",36,4,0
"776",36,5,0
"777",36,6,0
"778",36,7,0
"779",36,8,0
"780",36,9,0
"781",36,10,0
"782",36,11,0
"783",36,12,0
"784",36,13,0
"785",36,14,0
"786",36,15,0.0434185516038685
"787",36,16,0.446590816496933
"788",36,17,0.229498058477591
"789",36,18,1.07926113986759
"790",36,19,0.13645830504073
"791",36,20,0
"792",36,21,0
"793",37,0,0
"794",37,1,0
"795",37,2,0
"796",37,3,0
"797",37,4,0
"798",37,5,0
"799",37,6,0
"800",37,7,0
"801",37,8,0
"802",37,9,0
"803",37,10,0
"804",37,11,0
"805",37,12,0.115828450778662
"806",37,13,0.0975397480241365
"807",37,14,0.0853472795211194
"808",37,15,0
"809",37,16,0.158502090539222
"810",37,17,0.359677820839003
"811",37,18,0.944916308983822
"812",37,19,0.0731548110181024
"813",37,20,0.0182887027545256
"814",37,21,0
"815",38,0,0
"816",38,1,0
"817",38,2,0
"818",38,3,0
"819",38,4,0
"820",38,5,0
"821",38,6,0
"822",38,7,0
"823",38,8,0
"824",38,9,0
"825",38,10,0
"826",38,11,0.499493661108966
"827",38,12,1.02277273465169
"828",38,13,2.02176005686962
"829",38,14,1.09412897195297
"830",38,15,0.0832489435181609
"831",38,16,0.261639536771363
"832",38,17,0.535171779759606
"833",38,18,0.107034355951921
"834",38,19,0
"835",38,20,0
"836",38,21,0
"837",39,0,0
"838",39,1,0
"839",39,2,0
"840",39,3,0
"841",39,4,0
"842",39,5,0
"843",39,6,0
"844",39,7,0
"845",39,8,0
"846",39,9,0
"847",39,10,0.0204827069194339
"848",39,11,0.143378948436037
"849",39,12,1.00365263905226
"850",39,13,1.73078873469216
"851",39,14,0.358447371090092
"852",39,15,0.604239854123299
"853",39,16,0.245792483033206
"854",39,17,0.0921721811374523
"855",39,18,0.122896241516603
"856",39,19,0.204827069194339
"857",39,20,0.122896241516603
"858",39,21,0
"859",40,0,0
"860",40,1,0
"861",40,2,0
"862",40,3,0
"863",40,4,0
"864",40,5,0
"865",40,6,0
"866",40,7,0
"867",40,8,0
"868",40,9,0
"869",40,10,0
"870",40,11,0
"871",40,12,0.0748477944474564
"872",40,13,0.138180543595304
"873",40,14,0.0115150452996087
"874",40,15,0.00575752264980434
"875",40,16,0
"876",40,17,0.339693836338456
"877",40,18,0.443329244034934
"878",40,19,0.552722174381217
"879",40,20,0.0115150452996087
"880",40,21,0
