"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0.0680116455607554
"13",1,12,0.0494630149532767
"14",1,13,0.0370972612149575
"15",1,14,0.136023291121511
"16",1,15,0.908882899766459
"17",1,16,0.0185486306074788
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",2,0,0
"25",2,1,0
"26",2,2,0
"27",2,3,0
"28",2,4,0
"29",2,5,0
"30",2,6,0
"31",2,7,0
"32",2,8,0
"33",2,9,0
"34",2,10,0.212710854902165
"35",2,11,0.729076588529368
"36",2,12,0.854504023694906
"37",2,13,0.10080095720179
"38",2,14,1.04001821061653
"39",2,15,5.06288936505524
"40",2,16,0
"41",2,17,0
"42",2,18,0
"43",2,19,0
"44",2,20,0
"45",2,21,0
"46",2,22,0
"47",3,0,0
"48",3,1,0
"49",3,2,0
"50",3,3,0
"51",3,4,0.479701264958595
"52",3,5,0
"53",3,6,0.00449023286895622
"54",3,7,0
"55",3,8,0
"56",3,9,0.00902646719352123
"57",3,10,0.108490627924098
"58",3,11,0.150846257414789
"59",3,12,0.790563095289557
"60",3,13,0.597692611864966
"61",3,14,0.185604683225887
"62",3,15,3.84038748354033
"63",3,16,0.916598637859649
"64",3,17,0.916598637859649
"65",3,18,0
"66",3,19,0
"67",3,20,0
"68",3,21,0
"69",3,22,0
"70",4,0,0
"71",4,1,0
"72",4,2,0
"73",4,3,0
"74",4,4,8
"75",4,5,0
"76",4,6,0
"77",4,7,0
"78",4,8,0
"79",4,9,0
"80",4,10,0
"81",4,11,0
"82",4,12,0
"83",4,13,0
"84",4,14,0
"85",4,15,0
"86",4,16,0
"87",4,17,0
"88",4,18,0
"89",4,19,0
"90",4,20,0
"91",4,21,0
"92",4,22,0
"93",5,0,0
"94",5,1,0
"95",5,2,0
"96",5,3,0.319473202631868
"97",5,4,3.53423607017254
"98",5,5,0.860318982256655
"99",5,6,0
"100",5,7,0
"101",5,8,0
"102",5,9,0
"103",5,10,0
"104",5,11,0
"105",5,12,0
"106",5,13,0
"107",5,14,0
"108",5,15,0.115061435527385
"109",5,16,0
"110",5,17,0
"111",5,18,2.2543116715519
"112",5,19,0
"113",5,20,0
"114",5,21,0.916598637859649
"115",5,22,0
"116",6,0,0
"117",6,1,0
"118",6,2,0
"119",6,3,0.992869550651231
"120",6,4,0.167116657040306
"121",6,5,0
"122",6,6,0
"123",6,7,0
"124",6,8,0
"125",6,9,0
"126",6,10,0
"127",6,11,0
"128",6,12,0
"129",6,13,0
"130",6,14,0
"131",6,15,0
"132",6,16,0
"133",6,17,0.501349971120918
"134",6,18,0.874904851563955
"135",6,19,0.462028404758493
"136",6,20,0.442367621577281
"137",6,21,0.0589823495436374
"138",6,22,0
"139",7,0,0
"140",7,1,0
"141",7,2,0
"142",7,3,0.0602768990089136
"143",7,4,0.0120553798017827
"144",7,5,0
"145",7,6,0
"146",7,7,0
"147",7,8,0
"148",7,9,0
"149",7,10,0
"150",7,11,0
"151",7,12,0
"152",7,13,0
"153",7,14,0
"154",7,15,0
"155",7,16,0
"156",7,17,0.0241107596035655
"157",7,18,2.29052216233872
"158",7,19,1.7480300712585
"159",7,20,0.289329115242786
"160",7,21,0.289329115242786
"161",7,22,0
"162",8,0,0
"163",8,1,0
"164",8,2,0
"165",8,3,0
"166",8,4,0
"167",8,5,0
"168",8,6,0
"169",8,7,0
"170",8,8,0
"171",8,9,0
"172",8,10,0
"173",8,11,0
"174",8,12,0.015180173379286
"175",8,13,0.37950433448215
"176",8,14,0
"177",8,15,0
"178",8,16,0.546486241654296
"179",8,17,0.166981907172146
"180",8,18,1.21441387034288
"181",8,19,2.23148548675504
"182",8,20,0.743828495585015
"183",8,21,0.834909535860731
"184",8,22,0.121441387034288
"185",9,0,0
"186",9,1,0
"187",9,2,0
"188",9,3,0
"189",9,4,0
"190",9,5,0
"191",9,6,0
"192",9,7,0
"193",9,8,0
"194",9,9,0
"195",9,10,0
"196",9,11,0
"197",9,12,0
"198",9,13,0.0737513853634731
"199",9,14,0.019935638509706
"200",9,15,0.0581732330616835
"201",9,16,0.116970998760767
"202",9,17,0.188644741401822
"203",9,18,0.87323828413083
"204",9,19,1.69557883594595
"205",9,20,4.97370688282577
"206",9,21,0
"207",9,22,0
"208",10,0,0
"209",10,1,0
"210",10,2,0
"211",10,3,0
"212",10,4,0
"213",10,5,0
"214",10,6,0
"215",10,7,0
"216",10,8,0
"217",10,9,0
"218",10,10,0
"219",10,11,0
"220",10,12,0
"221",10,13,0
"222",10,14,0.0341818200711431
"223",10,15,0.432969720901146
"224",10,16,1.07103036222915
"225",10,17,0.854545501778578
"226",10,18,1.21915158253744
"227",10,19,0.638060641328005
"228",10,20,0.0227878800474287
"229",10,21,0.0797575801660006
"230",10,22,0
"231",11,0,0
"232",11,1,0
"233",11,2,0
"234",11,3,0
"235",11,4,0
"236",11,5,0
"237",11,6,0
"238",11,7,0
"239",11,8,0
"240",11,9,0
"241",11,10,0
"242",11,11,0
"243",11,12,0
"244",11,13,0
"245",11,14,0
"246",11,15,0
"247",11,16,0.33082005232554
"248",11,17,1.35810337270485
"249",11,18,0.339525843176212
"250",11,19,0.487524287637637
"251",11,20,0.409172169981589
"252",11,21,0.00870579085067209
"253",11,22,0
"254",12,0,0
"255",12,1,0
"256",12,2,0
"257",12,3,0
"258",12,4,0
"259",12,5,0
"260",12,6,0
"261",12,7,0
"262",12,8,0
"263",12,9,0
"264",12,10,0
"265",12,11,0
"266",12,12,0
"267",12,13,0
"268",12,14,0
"269",12,15,0
"270",12,16,0
"271",12,17,0.340202512454758
"272",12,18,3.32806805662264
"273",12,19,2.49974889586322
"274",12,20,0
"275",12,21,0
"276",12,22,0
"277",13,0,0
"278",13,1,0
"279",13,2,0
"280",13,3,0
"281",13,4,0
"282",13,5,0
"283",13,6,0
"284",13,7,0
"285",13,8,0
"286",13,9,0
"287",13,10,0
"288",13,11,0
"289",13,12,0
"290",13,13,0
"291",13,14,0
"292",13,15,0.0692874598634578
"293",13,16,0.139721738425511
"294",13,17,0.279204756723464
"295",13,18,1.54615445161166
"296",13,19,1.88759472765083
"297",13,20,4.07803686572508
"298",13,21,0
"299",13,22,0
"300",14,0,0
"301",14,1,0
"302",14,2,0
"303",14,3,0
"304",14,4,0
"305",14,5,0
"306",14,6,0
"307",14,7,0
"308",14,8,0
"309",14,9,0
"310",14,10,0
"311",14,11,0
"312",14,12,0
"313",14,13,0.180559407046435
"314",14,14,0.0356591422126171
"315",14,15,0.186016588454625
"316",14,16,0.339911199972488
"317",14,17,1.11784679862773
"318",14,18,6.1400068636861
"319",14,19,0
"320",14,20,0
"321",14,21,0
"322",14,22,0
"323",15,0,0
"324",15,1,0
"325",15,2,0
"326",15,3,0
"327",15,4,0
"328",15,5,0
"329",15,6,0
"330",15,7,0
"331",15,8,0
"332",15,9,0
"333",15,10,0
"334",15,11,0
"335",15,12,0.155226479941609
"336",15,13,2.32839719912414
"337",15,14,2.96655050555076
"338",15,15,0.120731706621252
"339",15,16,0.87961671966912
"340",15,17,0.793379786368226
"341",15,18,0.0517421599805365
"342",15,19,0.0689895466407153
"343",15,20,0
"344",15,21,0
"345",15,22,0
"346",16,0,0
"347",16,1,0
"348",16,2,0
"349",16,3,0
"350",16,4,0
"351",16,5,0
"352",16,6,0
"353",16,7,0
"354",16,8,0
"355",16,9,0
"356",16,10,0
"357",16,11,0
"358",16,12,0.139002965351577
"359",16,13,0.151562460799347
"360",16,14,0.725935465548532
"361",16,15,0.207799428579457
"362",16,16,0.661064904611386
"363",16,17,0.901727546244846
"364",16,18,2.31409138797623
"365",16,19,1.98434125881817
"366",16,20,0.914474582070448
"367",16,21,0
"368",16,22,0
"369",17,0,0
"370",17,1,0
"371",17,2,0
"372",17,3,0
"373",17,4,0
"374",17,5,0
"375",17,6,0
"376",17,7,0
"377",17,8,0
"378",17,9,0
"379",17,10,0
"380",17,11,0
"381",17,12,0.216304486845039
"382",17,13,0
"383",17,14,0.875049969509476
"384",17,15,0.245800553232999
"385",17,16,0.953706146544036
"386",17,17,0.560425261371238
"387",17,18,0.727569637569677
"388",17,19,0
"389",17,20,0
"390",17,21,0
"391",17,22,0
"392",18,0,0
"393",18,1,0
"394",18,2,0
"395",18,3,0
"396",18,4,0
"397",18,5,0
"398",18,6,0
"399",18,7,0
"400",18,8,0
"401",18,9,0
"402",18,10,0
"403",18,11,0.814942542135253
"404",18,12,0
"405",18,13,0.0798963276603189
"406",18,14,5.30511615664517
"407",18,15,0.415460903833658
"408",18,16,0.111854858724446
"409",18,17,0.0159792655320638
"410",18,18,0
"411",18,19,0
"412",18,20,0
"413",18,21,0
"414",18,22,0
"415",19,0,0
"416",19,1,0
"417",19,2,0
"418",19,3,0
"419",19,4,0
"420",19,5,0
"421",19,6,0
"422",19,7,0
"423",19,8,0
"424",19,9,0
"425",19,10,0
"426",19,11,0.194707617108508
"427",19,12,0.00713141165905892
"428",19,13,0.617936048061446
"429",19,14,0.831471872382865
"430",19,15,0.617936048061446
"431",19,16,1.65278013700159
"432",19,17,1.95469264155533
"433",19,18,2.12334422416975
"434",19,19,0
"435",19,20,0
"436",19,21,0
"437",19,22,0
"438",20,0,0
"439",20,1,0
"440",20,2,0
"441",20,3,0
"442",20,4,0
"443",20,5,0
"444",20,6,0
"445",20,7,0
"446",20,8,0
"447",20,9,0
"448",20,10,0
"449",20,11,0
"450",20,12,0
"451",20,13,1.04583649554112
"452",20,14,1.63100691566532
"453",20,15,0.747026068243657
"454",20,16,0.423314772004739
"455",20,17,0.161855648119459
"456",20,18,0.846629544009478
"457",20,19,0.136954779178004
"458",20,20,0
"459",20,21,0
"460",20,22,0
"461",21,0,0
"462",21,1,0
"463",21,2,0
"464",21,3,0
"465",21,4,0
"466",21,5,0
"467",21,6,0
"468",21,7,0
"469",21,8,0
"470",21,9,0
"471",21,10,0
"472",21,11,0
"473",21,12,0.0387379819421905
"474",21,13,0.154951927768762
"475",21,14,0.180777249063555
"476",21,15,0.296991194890127
"477",21,16,0.878060924022984
"478",21,17,0.52941908654327
"479",21,18,1.56243193833501
"480",21,19,0.723108996254222
"481",21,20,0.335729176832317
"482",21,21,0
"483",21,22,0
"484",22,0,0
"485",22,1,0
"486",22,2,0
"487",22,3,0
"488",22,4,0
"489",22,5,0
"490",22,6,0
"491",22,7,0
"492",22,8,1.24862129287626
"493",22,9,0.269972171432704
"494",22,10,0.08436630357272
"495",22,11,0.776169992869024
"496",22,12,0.236225650003616
"497",22,13,0.489324560721776
"498",22,14,0.033746521429088
"499",22,15,0.725550210725392
"500",22,16,0.236225650003616
"501",22,17,0.995522382158096
"502",22,18,0.995522382158096
"503",22,19,0.4218315178636
"504",22,20,0.016873260714544
"505",22,21,0
"506",22,22,0
"507",23,0,0
"508",23,1,0
"509",23,2,0
"510",23,3,0
"511",23,4,0
"512",23,5,0
"513",23,6,0
"514",23,7,0
"515",23,8,0.0586857951947143
"516",23,9,0
"517",23,10,0.0106290070031649
"518",23,11,0
"519",23,12,0
"520",23,13,0.245274373414484
"521",23,14,0.0478497852203154
"522",23,15,0.174804401464431
"523",23,16,0.437965185321503
"524",23,17,1.79255323277455
"525",23,18,3.37810230838842
"526",23,19,1.85413591121842
"527",23,20,0
"528",23,21,0
"529",23,22,0
"530",24,0,0
"531",24,1,0
"532",24,2,0
"533",24,3,0
"534",24,4,0
"535",24,5,0
"536",24,6,0
"537",24,7,0
"538",24,8,0
"539",24,9,0
"540",24,10,0
"541",24,11,0
"542",24,12,0
"543",24,13,0
"544",24,14,0.0964584676785002
"545",24,15,0.289375403035501
"546",24,16,0.803820563987502
"547",24,17,2.29892681300426
"548",24,18,1.607641127975
"549",24,19,0.852049797826752
"550",24,20,0.225069757916501
"551",24,21,0
"552",24,22,0
"553",25,0,0
"554",25,1,0
"555",25,2,0
"556",25,3,0
"557",25,4,0
"558",25,5,0
"559",25,6,0
"560",25,7,0
"561",25,8,0
"562",25,9,0
"563",25,10,0
"564",25,11,0
"565",25,12,0
"566",25,13,0
"567",25,14,0.55997253567398
"568",25,15,0.485309530917449
"569",25,16,0.970619061834899
"570",25,17,1.75458061177847
"571",25,18,0.429312277350051
"572",25,19,2.35188464983072
"573",25,20,0.597304038052245
"574",25,21,0.111994507134796
"575",25,22,0.055997253567398
"576",26,0,0
"577",26,1,0
"578",26,2,0
"579",26,3,0
"580",26,4,0
"581",26,5,0
"582",26,6,0
"583",26,7,0
"584",26,8,0.0962841551940164
"585",26,9,0.110039034507447
"586",26,10,0.0275097586268618
"587",26,11,0
"588",26,12,0.192568310388033
"589",26,13,0.110039034507447
"590",26,14,0.0962841551940164
"591",26,15,0
"592",26,16,0.137548793134309
"593",26,17,0.137548793134309
"594",26,18,1.21042937958192
"595",26,19,1.80188919005945
"596",26,20,0.90782203468644
"597",26,21,0.261342706955187
"598",26,22,0.0137548793134309
"599",27,0,0
"600",27,1,0
"601",27,2,0
"602",27,3,0
"603",27,4,0
"604",27,5,0
"605",27,6,0
"606",27,7,0
"607",27,8,0
"608",27,9,0
"609",27,10,0
"610",27,11,0
"611",27,12,0.0897601625519752
"612",27,13,0
"613",27,14,0
"614",27,15,0
"615",27,16,0
"616",27,17,0.0408000738872614
"617",27,18,0.350880635430448
"618",27,19,0.448800812759876
"619",27,20,0.799681448190324
"620",27,21,0.448800812759876
"621",27,22,0
"622",28,0,0
"623",28,1,0
"624",28,2,0
"625",28,3,0
"626",28,4,0
"627",28,5,0
"628",28,6,0
"629",28,7,0
"630",28,8,0
"631",28,9,0
"632",28,10,0
"633",28,11,0
"634",28,12,0
"635",28,13,0
"636",28,14,0
"637",28,15,0
"638",28,16,0
"639",28,17,0
"640",28,18,0.172765507266089
"641",28,19,0.0366472288140189
"642",28,20,0
"643",28,21,0
"644",28,22,0
"645",29,0,0
"646",29,1,0
"647",29,2,0
"648",29,3,0
"649",29,4,0
"650",29,5,0
"651",29,6,0
"652",29,7,0
"653",29,8,0
"654",29,9,0
"655",29,10,0
"656",29,11,0
"657",29,12,0
"658",29,13,0
"659",29,14,0
"660",29,15,0.214939591488313
"661",29,16,0
"662",29,17,0
"663",29,18,0
"664",29,19,0
"665",29,20,0
"666",29,21,0
"667",29,22,0
"668",30,0,0
"669",30,1,0
"670",30,2,0
"671",30,3,0
"672",30,4,0
"673",30,5,0
"674",30,6,0
"675",30,7,0
"676",30,8,0
"677",30,9,0
"678",30,10,0
"679",30,11,0
"680",30,12,0.0457669675158586
"681",30,13,0.00508521861287318
"682",30,14,0
"683",30,15,0
"684",30,16,0.00508521861287318
"685",30,17,0.0254260930643659
"686",30,18,0
"687",30,19,0
"688",30,20,0
"689",30,21,0
"690",30,22,0
"691",31,0,0
"692",31,1,0
"693",31,2,0
"694",31,3,0
"695",31,4,0
"696",31,5,0
"697",31,6,0
"698",31,7,0
"699",31,8,0
"700",31,9,0
"701",31,10,0
"702",31,11,0
"703",31,12,0.151343416478673
"704",31,13,0.126119513732227
"705",31,14,0.117711546150079
"706",31,15,0.38676650877883
"707",31,16,0.924876434036333
"708",31,17,0.0924876434036333
"709",31,18,0
"710",31,19,0
"711",31,20,0.0252239027464454
"712",31,21,0
"713",31,22,0
"714",32,0,0
"715",32,1,0
"716",32,2,0
"717",32,3,0
"718",32,4,0
"719",32,5,0
"720",32,6,0
"721",32,7,0
"722",32,8,0
"723",32,9,0
"724",32,10,0
"725",32,11,0
"726",32,12,0
"727",32,13,0.117501511940285
"728",32,14,0
"729",32,15,0.010681955630935
"730",32,16,0.993421873676954
"731",32,17,0.683645160379839
"732",32,18,0.19227520135683
"733",32,19,0.19227520135683
"734",32,20,0.811828627951059
"735",32,21,0
"736",32,22,0
"737",33,0,0
"738",33,1,0
"739",33,2,0
"740",33,3,0
"741",33,4,0
"742",33,5,0
"743",33,6,0
"744",33,7,0
"745",33,8,0
"746",33,9,0
"747",33,10,0
"748",33,11,0
"749",33,12,0
"750",33,13,0
"751",33,14,0
"752",33,15,0
"753",33,16,0.0647039297278502
"754",33,17,0.873503051325978
"755",33,18,0.668607273854452
"756",33,19,1.4234864540127
"757",33,20,0.0215679765759501
"758",33,21,0
"759",33,22,0
"760",34,0,0
"761",34,1,0
"762",34,2,0
"763",34,3,0
"764",34,4,0
"765",34,5,0
"766",34,6,0
"767",34,7,0
"768",34,8,0
"769",34,9,0
"770",34,10,0
"771",34,11,0
"772",34,12,0.0140627024569719
"773",34,13,0.942201064617116
"774",34,14,0
"775",34,15,0.168752429483663
"776",34,16,0.506257288450987
"777",34,17,0.998451874445003
"778",34,18,1.60314808009479
"779",34,19,0.196877834397606
"780",34,20,0.0703135122848594
"781",34,21,0.0843762147418313
"782",34,22,0
"783",35,0,0
"784",35,1,0
"785",35,2,0
"786",35,3,0
"787",35,4,0
"788",35,5,0
"789",35,6,0
"790",35,7,0
"791",35,8,0
"792",35,9,0
"793",35,10,0
"794",35,11,0
"795",35,12,0
"796",35,13,0.401232731808328
"797",35,14,0.194537082088886
"798",35,15,0.94836827518332
"799",35,16,0.656562652049991
"800",35,17,1.09427108674998
"801",35,18,0.182378514458331
"802",35,19,0.182378514458331
"803",35,20,0.0486342705222215
"804",35,21,0
"805",35,22,0
"806",36,0,0
"807",36,1,0
"808",36,2,0
"809",36,3,0
"810",36,4,0
"811",36,5,0
"812",36,6,0
"813",36,7,0
"814",36,8,0
"815",36,9,0
"816",36,10,0
"817",36,11,0.0978823491103455
"818",36,12,0
"819",36,13,0
"820",36,14,0
"821",36,15,0.84423526107673
"822",36,16,0.159058817304311
"823",36,17,2.09223521223363
"824",36,18,0.256941166414657
"825",36,19,0.293647047331036
"826",36,20,0
"827",36,21,0
"828",36,22,0
"829",37,0,0
"830",37,1,0
"831",37,2,0
"832",37,3,0
"833",37,4,0
"834",37,5,0
"835",37,6,0
"836",37,7,0
"837",37,8,0
"838",37,9,0.278219399030224
"839",37,10,0
"840",37,11,0.66901913951713
"841",37,12,0.136622929691787
"842",37,13,0.00848020391791001
"843",37,14,0.0698136783168165
"844",37,15,0.102244310744248
"845",37,16,1.28134606943581
"846",37,17,3.01554720832802
"847",37,18,2.43870706101805
"848",37,19,0
"849",37,20,0
"850",37,21,0
"851",37,22,0
"852",38,0,0
"853",38,1,0
"854",38,2,0
"855",38,3,0
"856",38,4,0
"857",38,5,0
"858",38,6,0
"859",38,7,0
"860",38,8,0
"861",38,9,0
"862",38,10,0
"863",38,11,0.237602335013116
"864",38,12,0.0416177167838494
"865",38,13,0.0332722565853823
"866",38,14,0.0998042275876754
"867",38,15,0.868340585802401
"868",38,16,1.73062437019301
"869",38,17,3.49273817850043
"870",38,18,1.49600032953414
"871",38,19,0
"872",38,20,0
"873",38,21,0
"874",38,22,0
"875",39,0,0
"876",39,1,0
"877",39,2,0
"878",39,3,0
"879",39,4,0
"880",39,5,0
"881",39,6,0
"882",39,7,0
"883",39,8,0
"884",39,9,0
"885",39,10,0
"886",39,11,0.0218044386139911
"887",39,12,0.109022193069956
"888",39,13,1.35187519406745
"889",39,14,0.741350912875699
"890",39,15,1.85337728218925
"891",39,16,2.42029268615302
"892",39,17,0.95939529901561
"893",39,18,0.261653263367894
"894",39,19,0
"895",39,20,0
"896",39,21,0
"897",39,22,0
"898",40,0,0
"899",40,1,0
"900",40,2,0
"901",40,3,0
"902",40,4,0
"903",40,5,0
"904",40,6,0
"905",40,7,0
"906",40,8,0
"907",40,9,0
"908",40,10,0
"909",40,11,0.0348680889402864
"910",40,12,0.0237515006898647
"911",40,13,0.87762283637927
"912",40,14,1.55826114782496
"913",40,15,0.262680429726892
"914",40,16,1.23331989980725
"915",40,17,1.1778827388641
"916",40,18,1.88774223851159
"917",40,19,0.943871119255793
"918",40,20,0
"919",40,21,0
"920",40,22,0
