"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"2","1",1,1,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"3","1",1,2,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"4","1",1,3,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"5","1",1,4,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"6","1",1,5,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"7","1",1,6,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"8","1",1,7,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"9","1",1,8,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"10","1",1,9,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"11","1",1,10,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"12","1",1,11,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"13","1",1,12,0,0,360,494,1,0,1,0,1,5.88610403145016,0,0,2.51332368934048,0
"14","1",1,13,2,134,360,494,1,2,0.994444444444444,0.00557104504945543,1,5.88610403145016,0.000946474105739326,0.00555555555555556,2.51332368934048,0.0139629093852249
"15","1",1,14,3,134,360,494,1,5,0.986111111111111,0.0084151969252845,1,5.88610403145016,0.00142967179654337,0.00833333333333333,2.51332368934048,0.0209443640778374
"16","1",1,15,19,134,360,494,1,24,0.933333333333333,0.0550066295122116,1,5.88610403145016,0.00934516774054699,0.0527777777777778,2.51332368934048,0.132647639159637
"17","1",1,16,37,134,360,494,1,61,0.830555555555556,0.116667586572518,1,5.88610403145016,0.0198208502515669,0.102777777777778,2.51332368934048,0.258313823626661
"18","1",1,17,50,134,360,494,1,111,0.691666666666667,0.182990676925979,1,5.88610403145016,0.0310885903389131,0.138888888888889,2.51332368934048,0.349072734630623
"19","1",1,18,111,134,360,494,1,222,0.383333333333333,0.590199211307503,1,5.88610403145016,0.10026992526024,0.308333333333333,2.51332368934048,0.774941470879983
"20","1",1,19,96,134,360,494,1,318,0.116666666666667,1.18958406687384,1,5.88610403145016,0.202100414895446,0.266666666666667,2.51332368934048,0.670219650490796
"21","1",1,20,33,134,360,494,1,351,0.025,1.54044504094715,1,5.88610403145016,0.261708769113894,0.0916666666666667,2.51332368934048,0.230388004856211
"22","1",1,21,5,134,360,494,1,356,0.0111111111111111,0.810930216216329,1,5.88610403145016,0.137770282666333,0.0138888888888889,2.51332368934048,0.0349072734630623
"23","1",1,22,3,134,360,494,1,359,0.00277777777777778,1.38629436111989,1,5.88610403145016,0.235519853830777,0.00833333333333333,2.51332368934048,0.0209443640778374
"24","1",1,23,1,134,360,494,1,360,0,0,1,5.88610403145016,0,0.00277777777777778,2.51332368934048,0.00698145469261246
"25","2",2,0,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"26","2",2,1,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"27","2",2,2,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"28","2",2,3,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"29","2",2,4,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"30","2",2,5,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"31","2",2,6,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"32","2",2,7,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"33","2",2,8,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"34","2",2,9,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"35","2",2,10,0,0,493,493,1,0,1,0,1,6.20253551718792,0,0,8,0
"36","2",2,11,9,0,493,493,1,9,0.981781376518219,0.0183866262504392,1,6.20253551718792,0.00296437258593487,0.0182555780933063,8,0.023714980687479
"37","2",2,12,6,0,493,493,1,15,0.969635627530364,0.0124482935265679,1,6.20253551718792,0.00200696851990162,0.0121703853955375,8,0.0160557481592129
"38","2",2,13,0,0,493,493,1,15,0.969635627530364,0,1,6.20253551718792,0,0,8,0
"39","2",2,14,102,0,493,493,1,117,0.763157894736842,0.239455409962904,1,6.20253551718792,0.0386060522022561,0.206896551724138,8,0.308848417618049
