"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,16.3313151927438,2.14060045165126,21.359,1.50723259308054,6.33037689093826,0.464530590179591,106.891500041659,14,16.8854875283447
"2",2,17.8045366492147,1.41178856888,20.084,1.12125901289137,3.53984250350828,0.326690206664863,64.7642912487418,18,18.2958115183246
"3",3,18.8188016997167,0.857928295701502,20.139,2.07997403938691,2.92522245379912,0.435877625713969,56.4037581636933,19,19.2818696883853
"4",4,18.5269035087719,1.30064374295476,21.29,1.17518850882465,2.71563831093264,0.279030831989135,51.6844729995923,19,19.0321637426901
"5",5,17.1003252212389,2.09361899997504,20.993,4.10143822238396,8,0.89757606055935,161.798662687922,21,20.2248328359903
"6",6,17.4501843317972,2.09595331826919,20.809,1.88084520394605,5.78926821640133,0.476110627781144,103.433146889345,19,17.8663594470046
"7",7,17.9624362606232,2.82832989328903,20.684,1.0636463298118,2.91059809630671,0.275353848201053,53.6976490147236,20,18.4490084985836
"8",8,18.6020217391304,0.876908471149786,21.604,0.839345466316351,1.38884501620691,0.185225075728494,26.6658243111727,19,19.2
"9",9,17.4564004576659,1.74216246972469,20.35,1.71730037872665,5.95603385320273,0.491001306398434,106.942836679989,16,17.9553775743707
"10",10,16.6309015659955,1.75919235550074,22.083,1.98731132850138,7.22218019382208,0.567397707507483,123.657619940531,17,17.1219239373602
"11",11,16.9355819521179,1.85160880286897,20.459,2.02854633490646,7.81206141740572,0.590096032542346,136.049279546404,15,17.4152854511971
"12",12,18.0431179138322,1.15919807887381,21.488,1.08796960081151,3.17744764210514,0.300741901765041,58.8908578293567,19,18.5340136054422
"13",13,17.3657603305785,1.40205350007761,18.52,0.321682149418731,0.49270303898312,0.0681940389825508,8.7566767382909,18,17.7727272727273
"14",14,15.3419296296296,1.66432071909117,18.637,0.669685267025556,1.33937053405111,0.142186380274968,21.1967788592607,16,15.8259259259259
"15",15,16.8422112676056,1.61492824469632,19.779,1.40785265077713,4.54352446387165,0.38195343673156,78.9083126959922,18,17.3672032193159
"16",16,15.9276544117647,2.13831136584262,21.644,1.93760759781755,8,0.605386830217417,157.06288050667,20,19.6328600633337
"17",17,16.9659249011858,1.90582313348621,21.656,1.28486866409179,4.92532987901854,0.380221087028626,86.0569989336026,17,17.4723320158103
"18",18,17.2439444444444,2.40030378257425,20.113,0.137918326627388,0.601825425283149,0.0428666132463979,10.7116567013938,19,17.7986111111111
"19",19,17.4108025751073,1.9711176583158,20.121,0.252862589169018,1.09105524585891,0.0826070729662196,19.683479510592,19,18.0407725321888
"20",20,15.7327544483986,2.67793860356974,20.125,0.313005740010611,1.41862278940293,0.0937955170624687,23.1144642038481,19,16.2935943060498
"21",21,16.8141339031339,1.6669001381577,20.483,0.879967641646822,2.57390535181696,0.211358567366893,44.6253590270145,17,17.3376068376068
"22",22,16.5379694323144,2.30141594773528,20.754,1.90577898395849,5.85803204465094,0.447332415594217,99.5353829071476,18,16.9912663755459
"23",23,17.11745215311,2.98727190556085,21.507,1.13547344228787,3.98846973845655,0.272015710425194,70.0940160256025,19,17.5741626794258
"24",24,17.9261842105263,2.02212320108921,21.957,0.821947054552619,3.06215569343133,0.254824450782696,56.3920145858748,19,18.4157894736842
"25",25,16.2774538043478,2.62288310346209,20.648,0.807920777369728,2.85879659684673,0.214826932483264,47.9081484042223,13,16.758152173913
"26",26,15.7565852631579,2.12074075670892,19.306,3.95045073629054,8,0.921616634961477,147.642569418713,19,18.4553211773391
"27",27,16.2346371490281,1.61387240804206,19.965,1.539106861268,6.19657805884423,0.509331174216542,103.769261294274,17,16.7462203023758
"28",28,14.5142449888641,2.60301505686676,19.969,0.984201538594086,5.26079155748505,0.357360979774758,78.9177317047674,17,15.0011135857461
"29",29,14.571888372093,2.25960819191809,18.719,1.3070112508624,4.39074092086589,0.336660391588172,66.3920871336512,15,15.1209302325581
"30",30,15.791656626506,1.94305718006477,18.668,0.635260264252461,2.31765283221777,0.196817953401584,37.7246864617615,18,16.2771084337349
"31",31,16.4382781690141,1.79214846588167,18.769,0.67916246558825,1.37772957305045,0.147771278403735,23.2613144463976,17,16.8838028169014
"32",32,15.2938596491228,2.18689512363069,18.204,0.717066863515468,2.40428301296363,0.201444791314539,38.0196081962256,17,15.81328320802
"33",33,15.5633075356415,2.66186462057897,19.911,0.738742378657353,3.94263595566044,0.240767796197339,63.5037402349095,19,16.1069246435845
"34",34,17.8253143812709,1.52065585070028,20.332,0.586172845107139,1.48530237870368,0.141664747731216,27.1253967856571,18,18.2625418060201
"35",35,17.734030848329,1.15255798614085,20.012,1.19551078119266,2.29090489598001,0.271774922082192,41.8399327339075,17,18.2634961439589
"36",36,17.8653901515152,2.08836271524253,20.608,1.55848820738317,5.24128518151793,0.425864604826978,95.8023547099044,19,18.2784090909091
"37",37,16.7966288848263,1.89645021183719,20.262,1.62207248527055,6.38326366505747,0.487005321053741,110.668520964484,16,17.3372943327239
"38",38,18.2133359173127,1.86107879902858,20.672,1.22536680341903,2.26898063599601,0.268144609850727,42.3279217094915,19,18.6550387596899
"39",39,18.977640569395,0.849597948396578,19.749,0.912642862216604,1.35689229779294,0.19360659826759,26.309707062366,19,19.3896797153025
"40",40,18.3167363896848,1.11079531121326,20.038,1.14213183230499,1.89811433083068,0.24740159194701,35.8058329427615,19,18.8638968481375
