"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,1.04525605043965
"7",1,6,2.23273316537865
"8",1,7,0
"9",1,8,0.16118457761112
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0.517264919468179
"14",1,13,4.0435612871024
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",2,0,0
"26",2,1,0
"27",2,2,0
"28",2,3,0
"29",2,4,0
"30",2,5,2.55993531376765
"31",2,6,0.754667776091319
"32",2,7,0
"33",2,8,0
"34",2,9,0
"35",2,10,0
"36",2,11,0.0396649691157982
"37",2,12,0.665369003050407
"38",2,13,3.98036293797483
"39",2,14,0
"40",2,15,0
"41",2,16,0
"42",2,17,0
"43",2,18,0
"44",2,19,0
"45",2,20,0
"46",2,21,0
"47",2,22,0
"48",2,23,0
"49",3,0,0
"50",3,1,0
"51",3,2,0
"52",3,3,0
"53",3,4,0
"54",3,5,3.72610641012312
"55",3,6,0
"56",3,7,0
"57",3,8,0
"58",3,9,0
"59",3,10,2.89387959770983
"60",3,11,0.397199160469977
"61",3,12,0
"62",3,13,0
"63",3,14,0
"64",3,15,0.0378284914733312
"65",3,16,0.17022821162999
"66",3,17,0.0189142457366656
"67",3,18,0.510684634889971
"68",3,19,0
"69",3,20,0
"70",3,21,0
"71",3,22,0
"72",3,23,0
"73",4,0,0
"74",4,1,0
"75",4,2,0
"76",4,3,0
"77",4,4,0
"78",4,5,0
"79",4,6,0
"80",4,7,0
"81",4,8,0
"82",4,9,0
"83",4,10,3.5297479588267
"84",4,11,0
"85",4,12,0
"86",4,13,0
"87",4,14,0
"88",4,15,0
"89",4,16,2.51862224145447
"90",4,17,1.43396010827335
"91",4,18,0.0551523118566672
"92",4,19,0
"93",4,20,0
"94",4,21,0
"95",4,22,0
"96",4,23,0
"97",5,0,0
"98",5,1,0
"99",5,2,0
"100",5,3,0
"101",5,4,2.80659727544879
"102",5,5,0
"103",5,6,0
"104",5,7,0
"105",5,8,0
"106",5,9,0
"107",5,10,0
"108",5,11,0
"109",5,12,0
"110",5,13,0
"111",5,14,0
"112",5,15,0
"113",5,16,2.88678576903304
"114",5,17,0.609432551240308
"115",5,18,0.144339288451652
"116",5,19,0
"117",5,20,0
"118",5,21,0
"119",5,22,0
"120",5,23,0
"121",6,0,0
"122",6,1,0
"123",6,2,0
"124",6,3,0
"125",6,4,0.0103260976992827
"126",6,5,0
"127",6,6,0
"128",6,7,0
"129",6,8,0
"130",6,9,0
"131",6,10,0
"132",6,11,0
"133",6,12,0.108424025842468
"134",6,13,0
"135",6,14,0
"136",6,15,0
"137",6,16,0.0361413419474894
"138",6,17,0
"139",6,18,0.0877718304439028
"140",6,19,0.0722826838949788
"141",6,20,0
"142",6,21,0
"143",6,22,0
"144",6,23,0
"145",7,0,0
"146",7,1,0
"147",7,2,0
"148",7,3,0
"149",7,4,0
"150",7,5,0
"151",7,6,0
"152",7,7,0
"153",7,8,0
"154",7,9,0
"155",7,10,0
"156",7,11,0
"157",7,12,0
"158",7,13,0
"159",7,14,0
"160",7,15,0.893998580333831
"161",7,16,0.15025186224098
"162",7,17,0
"163",7,18,0.105176303568686
"164",7,19,0.833897835437439
"165",7,20,0
"166",7,21,0
"167",7,22,0
"168",7,23,0
"169",8,0,0
"170",8,1,0
"171",8,2,0
"172",8,3,0
"173",8,4,0
"174",8,5,0
"175",8,6,0
"176",8,7,0
"177",8,8,0
"178",8,9,0.0184265969993454
"179",8,10,1.32671498395287
"180",8,11,0
"181",8,12,0
"182",8,13,0
"183",8,14,0.110559581996073
"184",8,15,0.626504297977745
"185",8,16,0.0737063879973817
"186",8,17,0.368531939986909
"187",8,18,2.48759059491163
"188",8,19,2.50601719191098
"189",8,20,0.0184265969993454
"190",8,21,0
"191",8,22,0
"192",8,23,0
"193",9,0,0
"194",9,1,0
"195",9,2,0
"196",9,3,0
"197",9,4,0
"198",9,5,0
"199",9,6,0
"200",9,7,0
"201",9,8,0
"202",9,9,3.61301738809222
"203",9,10,0.022097965676405
"204",9,11,0
"205",9,12,0.0773428798674176
"206",9,13,0
"207",9,14,0
"208",9,15,0
"209",9,16,0
"210",9,17,0
"211",9,18,0.0773428798674176
"212",9,19,0.209930673925848
"213",9,20,0
"214",9,21,0
"215",9,22,0
"216",9,23,0
"217",10,0,0
"218",10,1,0
"219",10,2,0
"220",10,3,0
"221",10,4,0
"222",10,5,0
"223",10,6,0
"224",10,7,0
"225",10,8,0
"226",10,9,2.28603996301519
"227",10,10,1.1507956276403
"228",10,11,0.964180120455386
"229",10,12,1.29075725802898
"230",10,13,0.0311025845308189
"231",10,14,0
"232",10,15,0
"233",10,16,0
"234",10,17,0
"235",10,18,0.497641352493103
"236",10,19,0
"237",10,20,0
"238",10,21,0
"239",10,22,0
"240",10,23,0
"241",11,0,0
"242",11,1,0
"243",11,2,0
"244",11,3,0
"245",11,4,0
"246",11,5,0
"247",11,6,0
"248",11,7,0.0230679720400984
"249",11,8,1.32352661813273
"250",11,9,0
"251",11,10,0
"252",11,11,1.16127809347676
"253",11,12,0.166088814549066
"254",11,13,0
"255",11,14,0.507661167099172
"256",11,15,0
"257",11,16,0
"258",11,17,0
"259",11,18,4.81837733470217
"260",11,19,0
"261",11,20,0
"262",11,21,0
"263",11,22,0
"264",11,23,0
"265",12,0,0
"266",12,1,0
"267",12,2,0
"268",12,3,0
"269",12,4,0
"270",12,5,0
"271",12,6,0.308350245198804
"272",12,7,1.25053154997293
"273",12,8,4.98499563071401
"274",12,9,0.565308782864475
"275",12,10,0.0685222767108454
"276",12,11,0.599569921219897
"277",12,12,0
"278",12,13,0
"279",12,14,0
"280",12,15,0
"281",12,16,0
"282",12,17,0
"283",12,18,0
"284",12,19,0
"285",12,20,0
"286",12,21,0
"287",12,22,0
"288",12,23,0
"289",13,0,0
"290",13,1,0
"291",13,2,0
"292",13,3,0
"293",13,4,0
"294",13,5,0
"295",13,6,0.312548290090542
"296",13,7,0.586028043919766
"297",13,8,0.566493775789107
"298",13,9,0.0879042065879649
"299",13,10,0
"300",13,11,2.26597510315643
"301",13,12,0.068369938457306
"302",13,13,0
"303",13,14,0
"304",13,15,0
"305",13,16,0
"306",13,17,0
"307",13,18,0
"308",13,19,0
"309",13,20,0
"310",13,21,0
"311",13,22,0
"312",13,23,0
"313",14,0,0
"314",14,1,0
"315",14,2,0
"316",14,3,0
"317",14,4,0
"318",14,5,0
"319",14,6,0.0573551856107839
"320",14,7,0
"321",14,8,0.49707827529346
"322",14,9,0
"323",14,10,0
"324",14,11,0.0318639920059911
"325",14,12,0
"326",14,13,0
"327",14,14,0
"328",14,15,0
"329",14,16,0
"330",14,17,0.42697749288028
"331",14,18,0.554433460904244
"332",14,19,0
"333",14,20,0
"334",14,21,0
"335",14,22,0.10833757282037
"336",14,23,0
"337",15,0,0
"338",15,1,0
"339",15,2,0
"340",15,3,3.56436341816769
"341",15,4,2.20022433220228
"342",15,5,0
"343",15,6,0.733408110734093
"344",15,7,0
"345",15,8,0
"346",15,9,0
"347",15,10,0
"348",15,11,0
"349",15,12,0
"350",15,13,0
"351",15,14,0
"352",15,15,0
"353",15,16,0
"354",15,17,0.0440044866440456
"355",15,18,0
"356",15,19,0
"357",15,20,0
"358",15,21,0
"359",15,22,0.0146681622146819
"360",15,23,0
"361",16,0,0
"362",16,1,0.183949656581677
"363",16,2,1.01656389163559
"364",16,3,0.0193631217454397
"365",16,4,0.600256774108631
"366",16,5,0
"367",16,6,0.319491508799755
"368",16,7,0.106497169599918
"369",16,8,0.571212091490472
"370",16,9,0
"371",16,10,0
"372",16,11,0
"373",16,12,0
"374",16,13,0
"375",16,14,0
"376",16,15,0
"377",16,16,0
"378",16,17,0
"379",16,18,0
"380",16,19,0.290446826181596
"381",16,20,0.522804287126872
"382",16,21,0.174268095708957
"383",16,22,0.0193631217454397
"384",16,23,0
"385",17,0,0
"386",17,1,0
"387",17,2,0.387414357332601
"388",17,3,2.13814263734031
"389",17,4,4.56873717324145
"390",17,5,0
"391",17,6,0.905705832085638
"392",17,7,0
"393",17,8,0
"394",17,9,0
"395",17,10,0
"396",17,11,0
"397",17,12,0
"398",17,13,0
"399",17,14,0
"400",17,15,0
"401",17,16,0
"402",17,17,0
"403",17,18,0
"404",17,19,0
"405",17,20,0
"406",17,21,0
"407",17,22,0
"408",17,23,0
"409",18,0,0
"410",18,1,0
"411",18,2,0.097898854035365
"412",18,3,2.22826608267071
"413",18,4,5.67383506329393
"414",18,5,0
"415",18,6,0
"416",18,7,0
"417",18,8,0
"418",18,9,0
"419",18,10,0
"420",18,11,0
"421",18,12,0
"422",18,13,0
"423",18,14,0
"424",18,15,0
"425",18,16,0
"426",18,17,0
"427",18,18,0
"428",18,19,0
"429",18,20,0
"430",18,21,0
"431",18,22,0
"432",18,23,0
"433",19,0,0
"434",19,1,0
"435",19,2,0.00286862313340606
"436",19,3,2.30440593023905
"437",19,4,3.15008772098565
"438",19,5,0
"439",19,6,0
"440",19,7,0
"441",19,8,0
"442",19,9,0
"443",19,10,2.54263772564189
"444",19,11,0
"445",19,12,0
"446",19,13,0
"447",19,14,0
"448",19,15,0
"449",19,16,0
"450",19,17,0
"451",19,18,0
"452",19,19,0
"453",19,20,0
"454",19,21,0
"455",19,22,0
"456",19,23,0
"457",20,0,0
"458",20,1,0
"459",20,2,0.379728115684199
"460",20,3,3.09174272388761
"461",20,4,0.221999818807625
"462",20,5,0.0493136755332056
"463",20,6,0
"464",20,7,0
"465",20,8,0
"466",20,9,0
"467",20,10,0
"468",20,11,0
"469",20,12,0
"470",20,13,0
"471",20,14,0
"472",20,15,0
"473",20,16,0
"474",20,17,0.279068159905278
"475",20,18,0.0637520247878274
"476",20,19,0.562885647392533
"477",20,20,0.104588389290257
"478",20,21,3.24692144471146
"479",20,22,0
"480",20,23,0
"481",21,0,0
"482",21,1,0.58970928323566
"483",21,2,0.465559960449205
"484",21,3,0.155186653483068
"485",21,4,0
"486",21,5,0
"487",21,6,0
"488",21,7,0
"489",21,8,0
"490",21,9,0
"491",21,10,0
"492",21,11,0
"493",21,12,0
"494",21,13,0
"495",21,14,0.00775933267415342
"496",21,15,0.457800627775052
"497",21,16,0.426763297078438
"498",21,17,0.931119920898411
"499",21,18,0.954397918920871
"500",21,19,0.403485299055978
"501",21,20,1.76912784970698
"502",21,21,0.5664312852132
"503",21,22,0.356929303011057
"504",21,23,0
"505",22,0,0
"506",22,1,1.28790088841493
"507",22,2,0.281966466694393
"508",22,3,0
"509",22,4,0
"510",22,5,0
"511",22,6,0
"512",22,7,0
"513",22,8,0
"514",22,9,0
"515",22,10,0
"516",22,11,0
"517",22,12,0
"518",22,13,0
"519",22,14,0.365794335171104
"520",22,15,0.0533450072124527
"521",22,16,1.9204202596483
"522",22,17,0.205759313533746
"523",22,18,1.6613159389021
"524",22,19,0.449622203647816
"525",22,20,0.373415050487169
"526",22,21,0.152414306321294
"527",22,22,0.0990692991088408
"528",22,23,0.0914485837927761
"529",23,0,0
"530",23,1,0
"531",23,2,0
"532",23,3,0
"533",23,4,0
"534",23,5,0
"535",23,6,0
"536",23,7,0
"537",23,8,0
"538",23,9,0
"539",23,10,0
"540",23,11,0
"541",23,12,0
"542",23,13,0
"543",23,14,0.0153722217892451
"544",23,15,0.0345874990258015
"545",23,16,2.0790929969954
"546",23,17,0.00768611089462255
"547",23,18,0.253641659522544
"548",23,19,0.207524994154809
"549",23,20,0.0307444435784902
"550",23,21,0.0230583326838676
"551",23,22,0.00384305544731127
"552",23,23,0
"553",24,0,0
"554",24,1,0
"555",24,2,0
"556",24,3,0
"557",24,4,0
"558",24,5,0
"559",24,6,0
"560",24,7,0
"561",24,8,0
"562",24,9,0
"563",24,10,0
"564",24,11,0
"565",24,12,0
"566",24,13,0
"567",24,14,0
"568",24,15,0.103968721502872
"569",24,16,0.329234284759096
"570",24,17,0.384684269560628
"571",24,18,0.672331065718575
"572",24,19,0.634209201167522
"573",24,20,0.0173281202504787
"574",24,21,0
"575",24,22,0
"576",24,23,0
"577",25,0,0
"578",25,1,0
"579",25,2,0
"580",25,3,0
"581",25,4,0
"582",25,5,0
"583",25,6,0.0852169300180344
"584",25,7,0
"585",25,8,0
"586",25,9,0
"587",25,10,0
"588",25,11,0
"589",25,12,0.0142028216696724
"590",25,13,0.035507054174181
"591",25,14,0.0639126975135258
"592",25,15,0.404780417585663
"593",25,16,0.752749548492637
"594",25,17,2.14462607212053
"595",25,18,0.97289328437256
"596",25,19,1.06521162522543
"597",25,20,0.866372121850017
"598",25,21,0
"599",25,22,0
"600",25,23,0
"601",26,0,0
"602",26,1,0
"603",26,2,0
"604",26,3,0.213117516583359
"605",26,4,0
"606",26,5,0.12653852547137
"607",26,6,0
"608",26,7,0.372955654020879
"609",26,8,0.599393015390698
"610",26,9,0
"611",26,10,0
"612",26,11,0
"613",26,12,0
"614",26,13,0
"615",26,14,0
"616",26,15,0
"617",26,16,0.279716740515659
"618",26,17,2.05791601950806
"619",26,18,1.47850277129706
"620",26,19,0.619372782570388
"621",26,20,0.193137749403669
"622",26,21,0
"623",26,22,0
"624",26,23,0
"625",27,0,0
"626",27,1,0
"627",27,2,0
"628",27,3,0.561892858092196
"629",27,4,0.118774100084529
"630",27,5,0.0502505808049931
"631",27,6,0
"632",27,7,0
"633",27,8,0
"634",27,9,0
"635",27,10,0
"636",27,11,0
"637",27,12,0
"638",27,13,0
"639",27,14,0
"640",27,15,0
"641",27,16,0
"642",27,17,0.634984611990368
"643",27,18,0.922783392964419
"644",27,19,1.15576335851484
"645",27,20,0.132478803940436
"646",27,21,0
"647",27,22,0
"648",27,23,0
"649",28,0,0
"650",28,1,0
"651",28,2,0
"652",28,3,0
"653",28,4,0
"654",28,5,0
"655",28,6,0
"656",28,7,0.0981992153854383
"657",28,8,1.36824240103711
"658",28,9,0.0327330717951461
"659",28,10,0
"660",28,11,0
"661",28,12,0
"662",28,13,0
"663",28,14,0.202945045129906
"664",28,15,0.870699709750886
"665",28,16,0.635021592825834
"666",28,17,0
"667",28,18,1.57773406052604
"668",28,19,0.536822377440396
"669",28,20,0.229131502566023
"670",28,21,0.268411188720198
"671",28,22,0
"672",28,23,0
"673",29,0,0
"674",29,1,0
"675",29,2,0
"676",29,3,0
"677",29,4,0
"678",29,5,0
"679",29,6,0
"680",29,7,0.0651738663484451
"681",29,8,0.739281976979264
"682",29,9,0.0101212205172164
"683",29,10,0.0102094239862702
"684",29,11,1.04059614023318
"685",29,12,0.353762790442751
"686",29,13,0
"687",29,14,0.820497243035825
"688",29,15,0.449817065190618
"689",29,16,1.06105937757118
"690",29,17,0
"691",29,18,0
"692",29,19,0
"693",29,20,1.82540379702606
"694",29,21,1.62407709866919
"695",29,22,0
"696",29,23,0
"697",30,0,0
"698",30,1,0
"699",30,2,0
"700",30,3,0
"701",30,4,0
"702",30,5,0
"703",30,6,0
"704",30,7,0.324381339453254
"705",30,8,0.400070318659013
"706",30,9,0
"707",30,10,0.151377958411518
"708",30,11,1.17498129624179
"709",30,12,0.0756889792057592
"710",30,13,0
"711",30,14,0.0252296597352531
"712",30,15,0.0144169484201446
"713",30,16,0
"714",30,17,0.147773721306482
"715",30,18,0
"716",30,19,0.0144169484201446
"717",30,20,0
"718",30,21,0
"719",30,22,0
"720",30,23,0
