"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0.0279605009099472
"17",1,16,0.0357902676649461
"18",1,17,0.0480015994897821
"19",1,18,0.0304161573908527
"20",1,19,0.295631097753184
"21",1,20,0.373364307054715
"22",1,21,0.820873810990302
"23",1,22,0.829118859144927
"24",1,23,2.09653900787451
"25",1,24,3.44230439172683
"26",1,25,0
"27",1,26,0
"28",2,0,0
"29",2,1,0
"30",2,2,0.185149230749018
"31",2,3,0
"32",2,4,0
"33",2,5,0
"34",2,6,0
"35",2,7,0
"36",2,8,0
"37",2,9,0
"38",2,10,0
"39",2,11,0
"40",2,12,0
"41",2,13,0
"42",2,14,0
"43",2,15,0.0734438526004813
"44",2,16,0.118300027266576
"45",2,17,0.170726938625409
"46",2,18,0.396529371889486
"47",2,19,0.253099816641961
"48",2,20,0.582687233785347
"49",2,21,0.659746782738727
"50",2,22,1.18777036817885
"51",2,23,1.5818204201322
"52",2,24,2.79072595739195
"53",2,25,0
"54",2,26,0
"55",3,0,0
"56",3,1,0
"57",3,2,0
"58",3,3,0
"59",3,4,0
"60",3,5,0
"61",3,6,0
"62",3,7,0
"63",3,8,0
"64",3,9,0
"65",3,10,0
"66",3,11,0
"67",3,12,0
"68",3,13,0
"69",3,14,0
"70",3,15,0
"71",3,16,0
"72",3,17,0
"73",3,18,0.233033888040232
"74",3,19,1.26504110650412
"75",3,20,0.782328052706494
"76",3,21,0.482713053797624
"77",3,22,2.84634248963426
"78",3,23,0.499358331514783
"79",3,24,0.149807499454435
"80",3,25,0
"81",3,26,0
"82",4,0,0
"83",4,1,0
"84",4,2,0
"85",4,3,0
"86",4,4,0
"87",4,5,0
"88",4,6,0
"89",4,7,0
"90",4,8,0
"91",4,9,0
"92",4,10,0
"93",4,11,0
"94",4,12,0
"95",4,13,0
"96",4,14,0
"97",4,15,0
"98",4,16,0
"99",4,17,0
"100",4,18,0.0744537029721356
"101",4,19,0
"102",4,20,0.260587960402475
"103",4,21,1.34016665349844
"104",4,22,1.99784102975231
"105",4,23,0.508766970309594
"106",4,24,0.148907405944271
"107",4,25,0
"108",4,26,0
"109",5,0,0
"110",5,1,0
"111",5,2,0
"112",5,3,0
"113",5,4,0
"114",5,5,0
"115",5,6,0
"116",5,7,0
"117",5,8,0
"118",5,9,0
"119",5,10,0
"120",5,11,0
"121",5,12,0
"122",5,13,0
"123",5,14,0
"124",5,15,0
"125",5,16,0
"126",5,17,0
"127",5,18,0.0598488239652042
"128",5,19,0
"129",5,20,0.0099748039942007
"130",5,21,1.52614501111271
"131",5,22,1.06730402737947
"132",5,23,0.349118139797024
"133",5,24,0.0698236279594049
"134",5,25,0
"135",5,26,0
"136",6,0,0
"137",6,1,0
"138",6,2,0
"139",6,3,0
"140",6,4,0
"141",6,5,0
"142",6,6,0
"143",6,7,0
"144",6,8,0
"145",6,9,0
"146",6,10,0
"147",6,11,0
"148",6,12,0
"149",6,13,0
"150",6,14,0
"151",6,15,0.407147587317877
"152",6,16,0
"153",6,17,0.241272644336519
"154",6,18,1.32699954385086
"155",6,19,0.286511265149617
"156",6,20,0.331749885962714
"157",6,21,2.09605609767351
"158",6,22,0.859533795448851
"159",6,23,0.0301590805420649
"160",6,24,0
"161",6,25,0
"162",6,26,0
"163",7,0,0
"164",7,1,0
"165",7,2,0
"166",7,3,0
"167",7,4,0
"168",7,5,0
"169",7,6,0
"170",7,7,0
"171",7,8,0
"172",7,9,0
"173",7,10,0
"174",7,11,0
"175",7,12,0
"176",7,13,0
"177",7,14,0
"178",7,15,0.0174597617231533
"179",7,16,0.0320113992420184
"180",7,17,0.156341256927917
"181",7,18,0.0620743870013722
"182",7,19,0.266137649561815
"183",7,20,1.96875804507022
"184",7,21,1.69324112749622
"185",7,22,1.3982942518971
"186",7,23,2.40568212108019
"187",7,24,0
"188",7,25,0
"189",7,26,0
"190",8,0,0
"191",8,1,0
"192",8,2,0
"193",8,3,0
"194",8,4,0
"195",8,5,0
"196",8,6,0
"197",8,7,0
"198",8,8,0
"199",8,9,0
"200",8,10,0
"201",8,11,0
"202",8,12,0
"203",8,13,0
"204",8,14,0
"205",8,15,0
"206",8,16,0
"207",8,17,0
"208",8,18,0.463379938548116
"209",8,19,1.78223053287737
"210",8,20,0.926759877096233
"211",8,21,0.659425297164627
"212",8,22,2.06738741813775
"213",8,23,0.641602991835853
"214",8,24,0.249512274602832
"215",8,25,0
"216",8,26,0
"217",9,0,0
"218",9,1,0
"219",9,2,0
"220",9,3,0
"221",9,4,0
"222",9,5,0
"223",9,6,0
"224",9,7,0
"225",9,8,0
"226",9,9,0
"227",9,10,0
"228",9,11,0
"229",9,12,0
"230",9,13,0
"231",9,14,0
"232",9,15,0
"233",9,16,0
"234",9,17,0.142434911281433
"235",9,18,0
"236",9,19,0.343519491914044
"237",9,20,0.167570483860509
"238",9,21,0.61163226609086
"239",9,22,0.695417508021114
"240",9,23,0.234598677404713
"241",9,24,0
"242",9,25,0
"243",9,26,0
"244",10,0,0
"245",10,1,0
"246",10,2,0
"247",10,3,0
"248",10,4,0
"249",10,5,0
"250",10,6,0
"251",10,7,0
"252",10,8,0
"253",10,9,0
"254",10,10,0
"255",10,11,0
"256",10,12,0
"257",10,13,0
"258",10,14,0
"259",10,15,0.0192736717867642
"260",10,16,0.163826210187496
"261",10,17,0.192736717867642
"262",10,18,0
"263",10,19,1.63826210187496
"264",10,20,0
"265",10,21,0.404747107522049
"266",10,22,0.404747107522049
"267",10,23,0.077094687147057
"268",10,24,0
"269",10,25,0
"270",10,26,0
"271",11,0,0
"272",11,1,0.969369482195919
"273",11,2,0.220868995943374
"274",11,3,0
"275",11,4,0
"276",11,5,0
"277",11,6,0
"278",11,7,0
"279",11,8,0
"280",11,9,0
"281",11,10,0
"282",11,11,0
"283",11,12,0
"284",11,13,0
"285",11,14,0
"286",11,15,0
"287",11,16,0.0736229986477913
"288",11,17,0.134975497520951
"289",11,18,0
"290",11,19,2.61361645199659
"291",11,20,0.539901990083803
"292",11,21,0.122704997746319
"293",11,22,0
"294",11,23,0
"295",11,24,0
"296",11,25,0
"297",11,26,0
"298",12,0,0
"299",12,1,0
"300",12,2,0.667289116667651
"301",12,3,0
"302",12,4,0
"303",12,5,0
"304",12,6,0
"305",12,7,1.53410972341142
"306",12,8,2.61640542725713
"307",12,9,0
"308",12,10,0
"309",12,11,0
"310",12,12,0
"311",12,13,0
"312",12,14,0
"313",12,15,0
"314",12,16,0
"315",12,17,2.26233487589181
"316",12,18,0
"317",12,19,0
"318",12,20,0
"319",12,21,0.919860856771985
"320",12,22,0
"321",12,23,0
"322",12,24,0
"323",12,25,0
"324",12,26,0
"325",13,0,0
"326",13,1,0.0290966790009916
"327",13,2,1.66251504709497
"328",13,3,0
"329",13,4,0
"330",13,5,0
"331",13,6,0
"332",13,7,6.30838827390404
"333",13,8,0
"334",13,9,0
"335",13,10,0
"336",13,11,0
"337",13,12,0
"338",13,13,0
"339",13,14,0
"340",13,15,0
"341",13,16,0
"342",13,17,0
"343",13,18,0
"344",13,19,0
"345",13,20,0
"346",13,21,0
"347",13,22,0
"348",13,23,0
"349",13,24,0
"350",13,25,0
"351",13,26,0
"352",14,0,0
"353",14,1,0
"354",14,2,1.34167481482204
"355",14,3,0.731713660953064
"356",14,4,1.55277663263041
"357",14,5,0
"358",14,6,0
"359",14,7,2.23798412486846
"360",14,8,2.13585076672603
"361",14,9,0
"362",14,10,0
"363",14,11,0
"364",14,12,0
"365",14,13,0
"366",14,14,0
"367",14,15,0
"368",14,16,0
"369",14,17,0
"370",14,18,0
"371",14,19,0
"372",14,20,0
"373",14,21,0
"374",14,22,0
"375",14,23,0
"376",14,24,0
"377",14,25,0
"378",14,26,0
"379",15,0,0
"380",15,1,0
"381",15,2,0.374336160804661
"382",15,3,0
"383",15,4,3.35396230574328
"384",15,5,0
"385",15,6,4.27170153345206
"386",15,7,0
"387",15,8,0
"388",15,9,0
"389",15,10,0
"390",15,11,0
"391",15,12,0
"392",15,13,0
"393",15,14,0
"394",15,15,0
"395",15,16,0
"396",15,17,0
"397",15,18,0
"398",15,19,0
"399",15,20,0
"400",15,21,0
"401",15,22,0
"402",15,23,0
"403",15,24,0
"404",15,25,0
"405",15,26,0
"406",16,0,0
"407",16,1,0
"408",16,2,0
"409",16,3,0.0423567953981449
"410",16,4,1.05606649666092
"411",16,5,0
"412",16,6,5.98134757098929
"413",16,7,0
"414",16,8,0
"415",16,9,0
"416",16,10,0.920229136951646
"417",16,11,0
"418",16,12,0
"419",16,13,0
"420",16,14,0
"421",16,15,0
"422",16,16,0
"423",16,17,0
"424",16,18,0
"425",16,19,0
"426",16,20,0
"427",16,21,0
"428",16,22,0
"429",16,23,0
"430",16,24,0
"431",16,25,0
"432",16,26,0
"433",17,0,0
"434",17,1,0
"435",17,2,0
"436",17,3,0
"437",17,4,0
"438",17,5,0
"439",17,6,6.74234457865809
"440",17,7,0
"441",17,8,0
"442",17,9,0.075123616475299
"443",17,10,0.131466328831773
"444",17,11,0
"445",17,12,0
"446",17,13,0
"447",17,14,0
"448",17,15,0
"449",17,16,0
"450",17,17,0
"451",17,18,0
"452",17,19,0.544646219445918
"453",17,20,0.244151753544722
"454",17,21,0.0187809041188248
"455",17,22,0
"456",17,23,0
"457",17,24,0
"458",17,25,0
"459",17,26,0
"460",18,0,0
"461",18,1,0
"462",18,2,0
"463",18,3,0
"464",18,4,0
"465",18,5,0.156255915837212
"466",18,6,0.651066315988384
"467",18,7,0
"468",18,8,0
"469",18,9,0
"470",18,10,0
"471",18,11,0
"472",18,12,0
"473",18,13,0
"474",18,14,0
"475",18,15,0
"476",18,16,0
"477",18,17,0
"478",18,18,0
"479",18,19,0.16927724215698
"480",18,20,0.351575810633727
"481",18,21,0.546895705430242
"482",18,22,1.58860181101166
"483",18,23,1.52349517941282
"484",18,24,0.0651066315988384
"485",18,25,0
"486",18,26,0
"487",19,0,0
"488",19,1,0
"489",19,2,0
"490",19,3,0
"491",19,4,0
"492",19,5,0
"493",19,6,0
"494",19,7,0
"495",19,8,0
"496",19,9,0
"497",19,10,0
"498",19,11,0
"499",19,12,0
"500",19,13,0
"501",19,14,0
"502",19,15,0.392255379053918
"503",19,16,0.109831506135097
"504",19,17,0.251043442594508
"505",19,18,0.282423872918821
"506",19,19,1.30228785845901
"507",19,20,0.313804303243134
"508",19,21,0.972793340053717
"509",19,22,0.643298821648426
"510",19,23,0.925722694567246
"511",19,24,1.14538570683744
"512",19,25,0
"513",19,26,0
"514",20,0,0
"515",20,1,0
"516",20,2,0.23820934557386
"517",20,3,0.00384257869516095
"518",20,4,0
"519",20,5,0
"520",20,6,0
"521",20,7,0
"522",20,8,0
"523",20,9,0
"524",20,10,0
"525",20,11,0
"526",20,12,0
"527",20,13,0.0193815122799823
"528",20,14,0.059902341640468
"529",20,15,0.160461188773589
"530",20,16,0.0613214866311445
"531",20,17,0.442847378786726
"532",20,18,0.353043221443243
"533",20,19,0.615218389824502
"534",20,20,0.524397734641444
"535",20,21,1.09750675076456
"536",20,22,1.50681072266661
"537",20,23,2.91705734827871
"538",20,24,0
"539",20,25,0
"540",20,26,0
"541",21,0,0
"542",21,1,0
"543",21,2,0
"544",21,3,0
"545",21,4,0
"546",21,5,0
"547",21,6,0
"548",21,7,0
"549",21,8,0
"550",21,9,0
"551",21,10,0
"552",21,11,0
"553",21,12,0.0971144729491919
"554",21,13,0.0448607123471075
"555",21,14,0.033010453090931
"556",21,15,0.0792363553659832
"557",21,16,0.302220273471543
"558",21,17,0.245199021232042
"559",21,18,0.0607051802223456
"560",21,19,0.511717991357461
"561",21,20,0.197839332029473
"562",21,21,0.78785264279482
"563",21,22,0.908331737598581
"564",21,23,1.47557661003472
"565",21,24,3.2563352175058
"566",21,25,0
"567",21,26,0
"568",22,0,0
"569",22,1,1.80394118875479
"570",22,2,0
"571",22,3,0
"572",22,4,0
"573",22,5,0
"574",22,6,0
"575",22,7,0
"576",22,8,0
"577",22,9,0
"578",22,10,0
"579",22,11,0
"580",22,12,0
"581",22,13,0
"582",22,14,0
"583",22,15,0.0757958482670079
"584",22,16,0.28802422341463
"585",22,17,0
"586",22,18,0.667003464749669
"587",22,19,0.28802422341463
"588",22,20,1.83425952806159
"589",22,21,0.106114187573811
"590",22,22,0.682162634403071
"591",22,23,0.894391009550693
"592",22,24,0.0151591696534016
"593",22,25,0
"594",22,26,0
"595",23,0,0
"596",23,1,0
"597",23,2,0
"598",23,3,0
"599",23,4,0
"600",23,5,0
"601",23,6,0
"602",23,7,0
"603",23,8,0
"604",23,9,0
"605",23,10,0
"606",23,11,0
"607",23,12,0
"608",23,13,0
"609",23,14,0
"610",23,15,0
"611",23,16,0
"612",23,17,0
"613",23,18,0
"614",23,19,0
"615",23,20,3.2462879280786
"616",23,21,0.48615906169293
"617",23,22,0.297968457166634
"618",23,23,2.8855892694032
"619",23,24,0
"620",23,25,0
"621",23,26,0
"622",24,0,0
"623",24,1,0
"624",24,2,0
"625",24,3,0
"626",24,4,0
"627",24,5,0
"628",24,6,0
"629",24,7,0
"630",24,8,0
"631",24,9,0
"632",24,10,0
"633",24,11,0
"634",24,12,0
"635",24,13,0
"636",24,14,0
"637",24,15,0
"638",24,16,0
"639",24,17,0
"640",24,18,0
"641",24,19,0
"642",24,20,4.70115620003561
"643",24,21,1.07734829584149
"644",24,22,0.0489703770837043
"645",24,23,1.38749401737162
"646",24,24,0
"647",24,25,0
"648",24,26,0
"649",25,0,0
"650",25,1,0
"651",25,2,0
"652",25,3,0
"653",25,4,0
"654",25,5,0
"655",25,6,0
"656",25,7,0
"657",25,8,0
"658",25,9,0
"659",25,10,0
"660",25,11,0
"661",25,12,0
"662",25,13,0
"663",25,14,0
"664",25,15,0
"665",25,16,0
"666",25,17,0
"667",25,18,0
"668",25,19,0
"669",25,20,0.783480119307482
"670",25,21,0.356658860281764
"671",25,22,0
"672",25,23,0.0643155321819575
"673",25,24,0
"674",25,25,0
"675",25,26,0
"676",26,0,0
"677",26,1,0
"678",26,2,0
"679",26,3,0
"680",26,4,0
"681",26,5,0
"682",26,6,0
"683",26,7,0
"684",26,8,0
"685",26,9,0
"686",26,10,0
"687",26,11,0
"688",26,12,0
"689",26,13,0
"690",26,14,0
"691",26,15,0
"692",26,16,0
"693",26,17,0
"694",26,18,0
"695",26,19,0.013220571042924
"696",26,20,0
"697",26,21,0
"698",26,22,0
"699",26,23,0
"700",26,24,0
"701",26,25,0
"702",26,26,0
"703",27,0,0
"704",27,1,0.810316730203698
"705",27,2,0.402065553154507
"706",27,3,0
"707",27,4,0
"708",27,5,0
"709",27,6,0
"710",27,7,0
"711",27,8,0
"712",27,9,0
"713",27,10,0
"714",27,11,0
"715",27,12,0
"716",27,13,0
"717",27,14,0
"718",27,15,0
"719",27,16,0
"720",27,17,0
"721",27,18,0.00618562389468472
"722",27,19,0.179383092945857
"723",27,20,0.0494849911574777
"724",27,21,0
"725",27,22,0
"726",27,23,0
"727",27,24,0
"728",27,25,0
"729",27,26,0
"730",28,0,0
"731",28,1,0
"732",28,2,0.516795508088465
"733",28,3,0
"734",28,4,0
"735",28,5,0
"736",28,6,0
"737",28,7,0
"738",28,8,0
"739",28,9,0
"740",28,10,0
"741",28,11,0
"742",28,12,0
"743",28,13,0
"744",28,14,0
"745",28,15,0
"746",28,16,0.0622023193013488
"747",28,17,0.0275893494129091
"748",28,18,0.750889141568791
"749",28,19,2.1424699386103
"750",28,20,0.230495166361707
"751",28,21,0.556786351693929
"752",28,22,2.27310048265391
"753",28,23,1.43967174230864
"754",28,24,0
"755",28,25,0
"756",28,26,0
"757",29,0,0
"758",29,1,0
"759",29,2,0.926000935979543
"760",29,3,0
"761",29,4,0
"762",29,5,0
"763",29,6,0
"764",29,7,0
"765",29,8,0
"766",29,9,0
"767",29,10,0
"768",29,11,0
"769",29,12,0
"770",29,13,0
"771",29,14,0
"772",29,15,0
"773",29,16,0.525423761282774
"774",29,17,0.159893966485342
"775",29,18,0.240924708140235
"776",29,19,0.849557506324433
"777",29,20,1.43967174230864
"778",29,21,1.30851780507052
"779",29,22,1.11033783209987
"780",29,23,1.43967174230864
"781",29,24,0
"782",29,25,0
"783",29,26,0
"784",30,0,0
"785",30,1,0.41523998440943
"786",30,2,0.773205488210663
"787",30,3,0
"788",30,4,0
"789",30,5,0
"790",30,6,0
"791",30,7,0
"792",30,8,0
"793",30,9,0
"794",30,10,0
"795",30,11,0
"796",30,12,0
"797",30,13,0
"798",30,14,0
"799",30,15,0
"800",30,16,0.0286372403040986
"801",30,17,2.40552818554429
"802",30,18,0.0143186201520493
"803",30,19,0.916391689731156
"804",30,20,1.18844547262009
"805",30,21,0.400921364257381
"806",30,22,0.0715931007602466
"807",30,23,0
"808",30,24,0
"809",30,25,0
"810",30,26,0
"811",31,0,0
"812",31,1,1.98310642046033
"813",31,2,0.00822865734630842
"814",31,3,0
"815",31,4,0
"816",31,5,0
"817",31,6,0
"818",31,7,0
"819",31,8,0
"820",31,9,0
"821",31,10,0
"822",31,11,0
"823",31,12,0
"824",31,13,0
"825",31,14,0
"826",31,15,0
"827",31,16,0
"828",31,17,0.0493719440778505
"829",31,18,0
"830",31,19,0.115201202848318
"831",31,20,0.62537795831944
"832",31,21,0.197487776311402
"833",31,22,0.0246859720389253
"834",31,23,0
"835",31,24,0
"836",31,25,0
"837",31,26,0
"838",32,0,0
"839",32,1,0
"840",32,2,0
"841",32,3,0
"842",32,4,0
"843",32,5,0
"844",32,6,0
"845",32,7,0
"846",32,8,0
"847",32,9,0
"848",32,10,0
"849",32,11,0
"850",32,12,0
"851",32,13,0
"852",32,14,0
"853",32,15,0
"854",32,16,0
"855",32,17,0
"856",32,18,0
"857",32,19,0.305390454224436
"858",32,20,3.69124114236493
"859",32,21,1.80578703367493
"860",32,22,0.0929449208509154
"861",32,23,0
"862",32,24,0
"863",32,25,0
"864",32,26,0
"865",33,0,0
"866",33,1,0
"867",33,2,0
"868",33,3,0
"869",33,4,0
"870",33,5,0
"871",33,6,0
"872",33,7,0
"873",33,8,0
"874",33,9,0
"875",33,10,0
"876",33,11,0
"877",33,12,0
"878",33,13,0
"879",33,14,0
"880",33,15,0
"881",33,16,0
"882",33,17,0.0257160719408123
"883",33,18,0.0262333012090231
"884",33,19,0.0633442743075535
"885",33,20,1.55603799623418
"886",33,21,3.32532818258763
"887",33,22,0.904095479472633
"888",33,23,2.09924469424817
"889",33,24,0
"890",33,25,0
"891",33,26,0
"892",34,0,0
"893",34,1,0
"894",34,2,0
"895",34,3,0
"896",34,4,0
"897",34,5,0
"898",34,6,0
"899",34,7,0
"900",34,8,0
"901",34,9,0
"902",34,10,0
"903",34,11,0
"904",34,12,0
"905",34,13,0
"906",34,14,0
"907",34,15,0.0460739845453106
"908",34,16,0.549542654097317
"909",34,17,0.176724557786773
"910",34,18,0.140270096087413
"911",34,19,0.992458880063916
"912",34,20,0.916342837669854
"913",34,21,1.48313031246262
"914",34,22,2.26249924525116
"915",34,23,1.43295743203564
"916",34,24,0
"917",34,25,0
"918",34,26,0
"919",35,0,0
"920",35,1,0
"921",35,2,0
"922",35,3,0
"923",35,4,0
"924",35,5,0
"925",35,6,0
"926",35,7,0
"927",35,8,0
"928",35,9,0
"929",35,10,0.0257160719408123
"930",35,11,0.108255709463679
"931",35,12,0.0741848456510267
"932",35,13,0.0473126401157063
"933",35,14,0.0526720583436399
"934",35,15,0.100526248900322
"935",35,16,0.410540965661792
"936",35,17,0.357678294681552
"937",35,18,0.132011522776779
"938",35,19,0.322296763529114
"939",35,20,0.226004208511313
"940",35,21,0.175849304889505
"941",35,22,0.219117337647374
"942",35,23,1.22735663052422
"943",35,24,4.52047739736316
"944",35,25,0
"945",35,26,0
"946",36,0,0
"947",36,1,0
"948",36,2,0
"949",36,3,0
"950",36,4,0
"951",36,5,0
"952",36,6,0
"953",36,7,0
"954",36,8,0
"955",36,9,0
"956",36,10,0
"957",36,11,0
"958",36,12,0
"959",36,13,0
"960",36,14,0
"961",36,15,0
"962",36,16,0
"963",36,17,0
"964",36,18,0
"965",36,19,0.0220031217211235
"966",36,20,0
"967",36,21,0.0165023412908426
"968",36,22,0.0770109260239322
"969",36,23,0.31354448452601
"970",36,24,0.533575701737244
"971",36,25,0.0990140477450556
"972",36,26,0
"973",37,0,0
"974",37,1,0
"975",37,2,0
"976",37,3,0
"977",37,4,0
"978",37,5,0
"979",37,6,0
"980",37,7,0
"981",37,8,0
"982",37,9,0
"983",37,10,0
"984",37,11,0
"985",37,12,0
"986",37,13,0
"987",37,14,0
"988",37,15,0
"989",37,16,0
"990",37,17,0
"991",37,18,0
"992",37,19,0
"993",37,20,0
"994",37,21,0
"995",37,22,0
"996",37,23,0.512253912214318
"997",37,24,0.700080346692901
"998",37,25,0
"999",37,26,0
"1000",38,0,0
"1001",38,1,0
"1002",38,2,0
"1003",38,3,0
