"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"22",1,0,0,0,0,0,0,0,0,0
"23",2,0,0,0,0,0,0,0,0,0
"24",3,0,0,0,0,0,0,0,0,0
"25",4,0,0,0,0,0,0,0,0,0
"26",5,0,0,0,0,0,0,0,0,0
"27",6,0,0,0,0,0,0,0,0,0
"28",7,0,0,0,0,0,0,0,0,0
"1",8,1.7794431372549,0.616990252878925,3.492,0.729755011459587,1.46525612537161,0.260721357997358,3.28389755156814,2,2.24117647058824
"2",9,1.9409793814433,0.467405634497078,2.633,1.16666641771024,1.79629591298243,0.366610089469192,4.88580142654842,2,2.71993127147766
"3",10,2.9654347826087,1.2025855501174,4.776,1.17814362682432,3.19898720894658,0.460009423501958,11.4009940554145,2,3.56393861892583
"4",11,2.16002752293578,0.427838705426982,3.482,3.32827866051101,3.74002447418247,0.9987670806845,9.76180699912764,2,2.61009174311927
"5",12,1.44235922330097,0.393359255206405,3.31,1.14672934587759,1.83595527396981,0.374438420022483,3.50851647015914,1,1.91100323624595
"6",13,1.52638554216867,0.323962728634822,3.544,0.267115784648339,0.351914446441463,0.0812334806991581,0.629630063813942,1,1.78915662650602
"7",14,2.59589142857143,0.409751978087718,2.987,0.554621964321152,0.829562767147022,0.179063301843719,2.62852888218871,3,3.16857142857143
"8",15,2.00019047619048,0.062863880158414,2.126,0.561903167305696,0.561903167305696,0.169420179496845,1.40475791826424,2,2.5
"9",16,1.60704054054054,0.0347071660474646,1.699,0.310621185757615,0.310621185757615,0.0936558113721177,0.776552964394037,2,2.5
"10",17,3.28636200716846,1.05525990258542,5.61,0.681560214667306,1.55864999911622,0.225052684905867,5.67315080323483,2,3.63978494623656
"11",18,3.4350971659919,1.10689299212539,5.735,2.53412126268935,6.45286548334299,0.876227752161003,25.5502123186617,3,3.95951417004049
"12",19,4.57223381294964,0.289553694927312,5.88,0.894878471301818,1.55485134388691,0.307075966719719,8.01475530859691,5,5.15467625899281
"29",20,0,0,0,0,0,0,0,0,0
"30",21,0,0,0,0,0,0,0,0,0
"13",22,1.22358011049724,0.0914782332457591,1.424,0.867270040362987,0.867270040362987,0.261491755981856,1.30090506054448,1,1.5
"14",23,1.32254191616766,0.143975837491234,1.62,1.85708185793005,2.09549101536702,0.557351112544019,3.38164568048749,1,1.61377245508982
"31",24,0,0,0,0,0,0,0,0,0
"15",25,1.308375,0.0331288761641175,1.366,0.161893449436079,0.161893449436079,0.0488127116178043,0.242840174154118,1,1.5
"32",26,0,0,0,0,0,0,0,0,0
"16",27,2.7914380952381,0.240657549698958,3.294,0.430503947247427,0.456595095565452,0.12925237052454,1.57199168616106,3,3.44285714285714
"33",28,0,0,0,0,0,0,0,0,0
"34",29,0,0,0,0,0,0,0,0,0
"35",30,0,0,0,0,0,0,0,0,0
"36",31,0,0,0,0,0,0,0,0,0
"37",32,0,0,0,0,0,0,0,0,0
"38",33,0,0,0,0,0,0,0,0,0
"39",34,0,0,0,0,0,0,0,0,0
"40",35,0,0,0,0,0,0,0,0,0
"17",36,6.22422222222222,0.446330133191844,8.934,1.89019887222725,2.2033342275661,0.563216867389164,14.5721807634507,6,6.61369509043928
"18",37,5.76966417910448,1.14744972121416,8.627,3.19287695868818,5.21762820078312,0.947811745675946,33.0579577795886,6,6.33582089552239
"19",38,5.49378910369068,1.79901146989804,10.188,3.95294534717993,8,1.22279873194089,70.6261109017839,10,8.82826386272299
"20",39,6.62561209964413,1.17006818625884,10.315,4.06545501126294,6.98711228235405,1.20000464593466,50.5135893295454,7,7.22953736654804
"21",40,8.03596644295302,0.985033177034128,10.061,1.42454069953898,2.96171950090197,0.462460499534051,25.2806280887952,8,8.53579418344519
